idx,course_name,program_content,educational_concepts
11,Modelling of Physical Systems,"Methodical aspects of numerical modeling:
- Dynamic and static models, stationary and non-stationary models, models with lumped and distributed parameters.
- Design a variety of computational grids.
- Defining the boundary and initial conditions.
- The simplifications used in the modeling (reduced dimensions, neglecting insignificant factors, etc.)
- Stages of numerical modeling. Physical model. Computational model. A mathematical model. Calibration and scaling of the model. The calculation and verification of the results.
- Selection of the numerical algorithm for solving the phenomenon (numerical stability, the stability criteria)
- Forward and inverse modeling (optimization)
Applications and limitations of methods:
- Finite differences,
- Finite Element
- Monte Carlo
- Lump parameter modelling
Modelling of physical processes:
- Distribution of stress, deformation
- Transport processes (heat, diffusion, advection, convection, etc.)
- Energy balance
Modelling of environmental components:
- atmosphere
- soil-atmosphere interface
- rivers and lakes
- oceans
- groundwater systems",Model simplification;numerical modeling; dynamic model; static model; stationary model; non-stationary model; lumped parameter model; distributed parameter model; boundary condition; initial condition; numerical algorithm; numerical stability; forward modeling; inverse modeling; model optimization; finite difference method; finite element method; Monte Carlo method; stress (physics):stress distribution; deformation; transport process:transport phenomena; heat transfer; diffusion; advection; convection; energy balance
12,Basic AI security,"Introduction to the AI security problems - revision of basic ML knowldege, mathematical foundations of the vulnerabilities in AI
General Machine Learning security issues - overview of the all problems regarding machine learning models
Vulnerabilities in vision systems
Vulnerabilities in LLM's (Large Language Models)
Taxonomy and guidelines for future
Basic adversarial attacks using torch and adversarial-robustness-toolkit
LLM (large language models) and basic poisoning attacks
Recreating scientific knowledge - how to implement attacks based on the selected papers
Testing LLM and prompt attack techiniques with Garak
Using defensive measures for countering the attacks on AI systems
Projects made in groups of at least 2 students. Students can choose their project topic",AI security:artificial intelligence security;Machine Learning security;adversarial robustness;ML:Machine Learning;vision system:Machine vision:computer vision;large language model;vulnerability [(computer security)];adversarial attack;poisoning attack;prompt injection
13,Cybersecurity,"Cybersecurity Basics
Basic definitions, the issue of system complexity, and a number of samples and statistics related to security issues around the world.
Web Applications
Common attacks against the web applications as well as their users. This includes the OWASP Top 10 as well as some less common examples. Some of the key OWASP projects will also be discussed.
Malware
Malware proliferation methods amd their abilities to perform specific tasks at the infected machines. Some specific examples of the malware and botnets. Statistics, trends and geographical distribution
Cryptography
Symmetric and assymetric encryption, available algorithms and their properties, digital signing and Public Key Infrastructure
Network & OS security
OS-related attacks and vulnerabilities, including exploitation of the communication protocols. Part of the subject will be dedicated to wireless network and their related issues.
Social engineering & procedures
Technical and non-technical (mostly sociological) methods to convince users to do things they shouldn't do. Includes phishing, baits, abuse of procedures and/or human behavioral patterns, etc.
Secure design
Defence-in-depth and other aspects related to secure design of systems and applications
Risk assessment & management
Each system is vulnerable, but the risks can be assessed and managed with already developed procedures. Some of these procedures are available as sets of best practices or international standards (e.g. ISO 2700x).",cybersecurity; web application security; OWASP [Top Ten]; malware; botnet; symmetric encryption; asymmetric encryption; encryption algorithm; digital signature; public key infrastructure; operating system security; network security; wireless network security; social engineering (security); phishing; secure software design; defense in depth; risk assessment; risk management; information security standard
14,Advanced Methods in Image Understanding,"1. Introduction to image processing and understanding
2. Basic image processing techniques: review
3. Image quality assessment
4. Advanced morphological operations including  skeleton functions, skiz function, Danielsson function and circlu function
5. Flexible shape matching and extraction: Active contours and deformable models
6. Graph based segmentation, SLIC algorithm
7. Feature extraction by shape matching
8. Object description (eg. boundary analysis, region description)
9. Texture description I
10. Texture description II
11. Classification
13. Design of an image processing and analysis system - which steps should be undertaken
14. Application examples, Conclusions and course summary
During seminars we will implement following solutions:
1. Review of the basic image processing techniques and implementation of low-level feature extraction methods
2. Advanced morphological operations in medical image processing
3. Active contours and deformable models
4. Graph based segmentation, SLIC algorithm
5. Texture description
6. AClassification methods I
7. Classification methods II
",image processing; image understanding; image quality assessment; morphological operation; skeletonization [(image processing)]:skeleton [(morphology)]; distance transform; active contour model; deformable model; graph-based image segmentation; SLIC (algorithm); feature extraction (computer vision); object detection; boundary detection:boundary tracing; region of interest; texture analysis; image classification; image analysis system design
15,Combinatorics in Computer Science,"The lecture is aimed at presenting different areas of a mutual interaction between combinatorics, nonstandard logic and computer science - divided into several thematic groups: a) systems of non-standard logic(modal, epistemic, dynamic) and their model theory, b) the so-called quasi-model- and tilling methods for the use of different complexity problems of non-standard logic systems c) Logic and games and the areas of their interactions. The course will be complemented by the issue of the so-called finite model theory 
This part of the course will have a complementary nature with respect to the lecture part and it will be devoted to the exemplification-based side of the issus. The partial orders, incidence algabras and examples of differet types of codes and their construction will form a special focus area","combinatorics; modal logic; epistemic logic; dynamic logic; model theory; quasi-model method; logic game; finite model theory; partial order; incidence algebra;tilling:tiling;code (information theory):coding theory"
16,Deep Neural Networks,"1. Reminder of basic issues of deep neural networks and mathematical foundations of neural networks
2. Convolutionary neural networks - training on small sets, visualization of learning effects including filters, feature maps. Using previously trained convolution neural network
3. Recursive neural networks - data forecasting, bi-directional RNN. Construction of advanced architectures. Optimization of hyperparameters.
4. Neural style transfer (NTS): implementation, loss of content and style, use during segmentation, video generation and creation of new images.
5. Overview of autoencoders: generating images, new data as well as segmentation results using variation autoencoders
1. Reminder of basic issues of deep neural networks and mathematical foundations of neural networks
2-3. Convolutionary neural networks - training on small sets - initial processing, application of basic and advanced data augmentation techniques. Construction of advanced architectures. Optimization of hyperparameters.
4. Visualization of learning outcomes including indirect activation, heat maps and convolution filters of neural networks
5. Achitecture of U-Net for data segmentation.
6. Using a previously trained convolution neural network (VGG16, VGG19, Xception, ResNet, DenseNet ect.) - feature extraction, fine-tuning
7. Recursive neural networks - data forecasting, bidirectional RNN, stacks of recursive layers
8-9. Neural style transfer (NTS): implementation, loss of content and style, use during segmentation, video generation and creation of new images.
10-11. Generating images, new data and segmentation results with the help of variational auto encoders
12. Overview of the TensorBoard package
13. Colloquium
14. Summary of classes", "deep neural network; mathematics of artificial neural networks; convolutional neural network:cnn; data augmentation; transfer learning; feature extraction; hyperparameter optimization; neural network visualization; recurrent neural network:RNN:Recursive neural networks; bidirectional recurrent neural network:bidirectional RNN; neural architecture design; neural style transfer;  variational autoencoder; image segmentation; U-Net:U-Net (neural network architecture); heat map (machine learning); TensorBoard; feature map; autoencoder; model fine-tuning:fine-tuning"
17,Advanced Algorithms and Data Structures,"Dynamic list structures used in computing systems.
Graph structures used in semantic networks.
Knowledge bases structures in rule systems and inference algorithms.
Fuzzy inference. 
Algorithms based on mathematical models.","algorithm; graph data structure; semantic network; knowledge base; algorithmic inference; fuzzy inference; rule-based system"
18,Advanced Database Systems,"1. Relational database systems, design and queries.
2. Indexing with PostgreSQL.
3. Transations in PostgreSQL.
4. GIS.
5. Data warehouse.
6. NoSQL database systems.
1. Relational database systems (short revision).
2. Database normalization and denormalization,
transaction isolation.
Impact on performance.
3. Geographic Information Systems (GIS).
4. Database systems for data warehouses (short
revision): OLTP vs OLAP.
Multidimensional data model. Star schema. Snowflake
schema. OLAP cube
operations. Extract, Transform and Load (ETL).
5. NoSQL database systems.
6. NoSQL database systems.
7. Database systems security","database normalization;[database] denormalization; relational database; [relational] database design; SQL query; database indexing:indexing (data structures); PostgreSQL; database transaction; transaction isolation; OLAP cube;gis:geographic information system; data warehouse; online transaction processing:oltp;online analytical processing:olap; multidimensional data model; star schema; snowflake schema; extract, transform, load; NoSQL database; database security"
19,Process Mining,"The lectures provide an overview of process mining
methods with an emphasis on advanced process and
decision model discovery algorithms.
Scope of the lectures:
• Fundamentals of business process management and
business process modelling.
• Advanced aspects of business process modelling and
execution.
• Process mining methods.
• Selected process discovery algorithms.
• Business process simulation methods.
• Introduction to decision modelling and mining.
• Current research directions in the area of business
processes and decisions.
The laboratory classes allow students to understand
and implement various process mining algorithms and
learn to correctly model business processes.
Scope of the laboratory classes:
• Modelling using Business Process Model and
Notation.
• Simulation and analysis of business processes.
• Modelling processes with decisions.
• Implementing basic process and decision mining
algorithms.
• Implementing advanced process mining algorithms
The project classes allow students to extend their
knowledge of process mining algorithms, propose their
algorithms, and develop their solutions for process
mining", "process mining; business process management; business process modelling; process discovery algorithm; decision mining; decision model; business process simulation; Business Process Model and Notation"
20,Linked Open Data and Knowledge Graphs,"Introduction. Concepts and architecture of the Semantic Web
Data modeling using the RDF model
Linked Open Data - projects, development, challenges
SPARQL - query language for graph knowledge bases
Description logics - formalization, knowledge representation and processing
Knowledge Graphs",Semantic Web; RDF (Resource Description Framework):resource description framework:RDF; Linked Open Data; SPARQL; description logic; knowledge graph
