,course_name,semester,prerequisites,ects,effects,program_content,program_content_ensuring_outcomes,language
10,Discrete mathematics,2,Functions and relationships.,3.0,The student knows and understands the basic issues of discrete mathematics.; The student is able to solve and algorithmize basic problems related to discrete mathematics.; The student is able to perform basic calculations using discrete mathematics techniques.; The student is ready to promote knowledge about discrete aspects of mathematics in society.,"Basics of logic, relations, functions.
Elements of graph theory.
Elements of combinatorics.
Finite algebraic structures.
Recurrence equations.","1. Preliminaries - elements of logic - classical propositional calculus and quantifier calculus, relations, including equivalence relations, order relations, functions. 2. Elements of graph theory. 3. Elements of combinatorics. 4. Finite algebraic structures. 5. Recurrence equations.",Polish
11,Graph theory,2,,2.0,"The student knows the concept of a directed and undirected graph, a tree, a weighted graph; The student knows the concept of a (minimal) path, a cycle in a graph; The student knows the basic graph algorithms: finding a spanning tree, testing connectivity, searching for shortest paths, etc.; The student knows the applications of graph theory in modeling phenomena and formalizing problems; The student knows the limitations related to the use of graph representations, related to computational complexity; The student is able to describe selected computer/physical systems using directed and undirected graphs; The student is able to estimate the computational complexity of algorithms operating on graph structures; The student is able to decide on the existence/non-existence of Hamiltonian/Euler paths and cycles; The student is able to indicate practical applications of graphs/trees in computer science problems; The student is ready to independently search for solutions to encountered problems in the field of formalization of technical problems","1. Graphs and subgraphs. Basic concepts. Isomorphism of graphs. Adjacency and incidence matrices. Paths and cycles 2. Trees. Cayley's theorem 3. Connectivity of graphs. Connected components. Spanning tree of a graph. 4. Hamiltonian graphs. Hamiltonian cycles and paths 5. Eulerian graphs. Eulerian cycles and paths 6. Matchings. Matchings and coverings in bipartite graphs. Perfect matching. 7. Vertex and edge coloring. Brooks' theorem, Vizing's theorem 8. Independent sets and cliques. Ramsey's theorem, Turan's theorem 9. Planar graphs. Dual graphs. Euler's formula, Kuratowski's theorem 10. Directed graphs. 11. Networks. Flows. Cuts. Maximum flow theorem.","1. Graphs and subgraphs. Basic concepts. Isomorphism of graphs. Adjacency and incidence matrices. Paths and cycles 2. Trees. Cayley's theorem 3. Connectivity of graphs. Connected components. Spanning tree of a graph. 4. Hamiltonian graphs. Hamiltonian cycles and paths 5. Eulerian graphs. Eulerian cycles and paths 6. Matchings. Matchings and coverings in bipartite graphs. Perfect matching. 7. Vertex and edge coloring. Brooks' theorem, Vizing's theorem 8. Independent sets and cliques. Ramsey's theorem, Turan's theorem 9. Planar graphs. Dual graphs. Euler's formula, Kuratowski's theorem 10. Directed graphs. 11. Networks. Flows. Cuts. Maximum flow theorem.",Polish
12,Programming Basics 2,2,"The student knows the syntax and semantics of the C language: declarations of variables of different types, the syntax of definitions and function calls, the course of compilation and linking of the program, basic libraries of the C language. The student is able to: write and compile a program in the C language, using one of the IDEs, remove compilation and linking errors, implement functions, declare variables and structural types, use pointers.",4.0,"Knows and understands the basic features of object-oriented programming languages ​​and is able to indicate their implementation in C++.; Knows the syntax of the language: the way of defining classes, attributes, methods, the principles of overloading functions and operators, understands the concept of virtual functions.; Knows and understands the construction patterns of containers and iterators.; Knows and understands the construction patterns of containers and iterators.; Is able to correctly implement a class with a fixed interface and scope of responsibility by designing additional data structures and/or using ready-made components, e.g.: C++ standard library templates; Is able to correctly implement a class with a fixed interface and scope of responsibility by designing additional data structures and/or using ready-made components, e.g.: C++ standard library templates.; Is able to implement their own memory-allocating containers (string, list, vector) both as classes and as templates. Is able to construct iterators for them; Is able to implement container content copying operations (assignment operator and copy constructor), including using the RTTI mechanism.; Is able to practically apply the exception mechanism; The student is ready to solve problems by obtaining information from Internet resources and literature.","Lectures Introduction to object-oriented programming languages. Basic relations between classes in object-oriented programming languages. Association, aggregation, composition, inheritance, multiple inheritance. Examples in C++. Class members (attributes, methods, constructors, destructors). Rules for placing class declarations and definitions in the source code. Syntax for calling class methods. References. Class methods. The this pointer. Inline functions. Static methods and variables. Inner classes, internal types and enumerations. (2 hrs.) Composition and inheritance. Syntax of composition and inheritance. Initialization of attributes and objects of base classes. Access specification. Multiple inheritance, virtual inheritance. Virtual functions. Implementation of virtual functions. Examples. Pure virtual functions, abstract classes. Interface specification. Constructors and destructors. Order of calling constructors and destructors. Use of virtual functions in constructors and destructors. Virtual destructors. Overloading functions and operators. Standard arguments. Overloading operators in the example of the String class. Assignment operator. Assignment operators and copy constructors for classes allocating memory. Member access operator. Casting operators in C++. RTTI, dynamic_cast and typeid operators. Exception mechanism. Generation and catching. Grouping exceptions. Exceptions in constructors. Exception specification. (2 hrs.) Containers. Examples of containers. Problems of reusing containers. Iterators. Assignment operator and copy constructor for containers. Container specialization, containers storing objects of different types, cloning. Templates. Function templates, comparison with preprocessor macros. Class templates. Template inheritance, adaptation of template code. C++ Standard Library. Introduction and examples: string, list, vector, stack, dictionary, set. Algorithms and function objects. Input-output library.
Laboratory exercises Declaring simple classes. Implementing examples of composition and inheritance. Tasks using virtual functions. Operator overloading on examples of string, vector, matrix classes. Implementing list type containers. Implementing iterators. Implementing tasks using object containers. Using RTTI to implement copy constructors and assignment operators in object containers. Implementing containers in the form of templates. Implementing tasks using templates of the C++ standard library (string, vector, list, map, etc.). Implementing tasks in which pointers are stored in containers.","The course will systematically discuss the elements of the C++ language and present the object-oriented programming paradigm. The course will cover the declaration of classes and their members, composition and inheritance relations, function and operator overloading, container implementation, C++ templates, and selected elements of the C++ standard library.",Polish
13,Algorithms and data structures,2,"Introductory knowledge of mathematics (logic, set theory, matrices, graphs, logarithms, etc.)",4.0,The student knows and understands basic algorithms and data structures; The student is able to and understands the issues of estimating the computational complexity of algorithms; The student is able to use basic algorithms and data structures and solve simple algorithmic problems; Is able to analyze and algorithmize selected problems; The student is ready to promote and disseminate knowledge about algorithms and data structures in society,"Algorithm - basic concepts, algorithms and structures The concept of an algorithm, criteria for analyzing algorithms, correctness. Strategies for constructing algorithms, divide and conquer method, dynamic programming, greedy method, heuristics, other methods. Elementary data structures: arrays, lists and their variants, queues, stacks, others. Basic algorithms: binary search, Hoare selection, magic fives, others.
Introduction to computational complexity. Time and memory complexity, basic definitions, notations and concepts. Complexity classes of algorithms. Computational hard problems: NP-completeness, undecidability.
Sorting Internal sorting, basic classifications and problems. Simple algorithms, special and linear algorithms, Shell's algorithm. Quicksort algorithms: QuickSort and its analysis, merge sort, introspective sort, others. Heaps, heap sort, priority queues. External sorting methods. Hashing Hash tables, various hashing methods and algorithms, applications. Tree structures Trees and basic tree operations, search methods, tree balancing problem. Binary trees, AVL trees, BST trees, red-black trees, splay trees, other trees. Dictionary trees and operations, B-trees, 2-3 trees. Complex data structures Binomial heaps, Fibonacci heaps, data structures for disjoint sets.
Graph Algorithms BFS and DFS search algorithms, properties, applications. Overview of graph algorithms, minimum spanning trees, shortest paths, graph coloring, others. Text Algorithms Pattern searching, prefix-suffix, Knuth-Morris-Pratt algorithm, Boyer-Moore algorithm, Rabin-Karp algorithm, text data structures, other text algorithms.","* Introduction to Algorithms * Introduction to Computational Complexity * Sorting * Hashing * Tree Structures * Complex Data Structures * Binomial Heaps, Fibonacci Heaps, Data Structures for Disjoint Sets * Graph Algorithms * Text Algorithms",Polish
14,Basics of computer graphics,2,,4.0,knows the main areas of computer graphics applications; knows the mathematical foundations of 2D and 3D graphics; knows the basic algorithms and computational methods of modern computer graphics; is able to operate 3D graphics packages at a basic level; is able to use basic algorithms and computational methods of modern computer graphics; is able to create animated 3D graphics at a basic level; is ready to work in a team to create a group project; is aware of the responsibility for his/her own work.,"The lecture topics and classes are held remotely on the MS Teams platform and aim to introduce the audience to the basic issues of 2D and 3D computer graphics. General issues such as various applications of computer graphics and classifications of computer graphics will be discussed, along with a discussion of programs and an overview of systems used in various fields using computer graphics. In the field of 2D graphics, the division and differences between raster and vector graphics will be discussed, with particular emphasis on the differences in the way information is represented in raster and vector graphics. The next issue will be a discussion of various models of color representation in computer graphics (RGB, CMYK, HSL, HSV, Lab, YCbCr models) and their usefulness in various applications of computer graphics. The next topic will be a general discussion of the most popular coding formats and compression methods for raster graphics, with particular emphasis on lossless compression methods, including RLE, LZW algorithms, and lossy on the example of JPEG coding. The basic issues of saving graphic files such as color palettes, bitmaps, image interlacing and the most popular graphic file formats such as BMP, PCX, GIF, PNG, JPEG, TIFF will be discussed. The next issue will be a discussion of issues related to digital processing of raster images, such as arithmetic operations, histogram and simple filtering of bitmap images. In the part concerning 3D graphics, the classes will familiarize with the mathematical foundations of 3D vector graphics. The issues discussed will include the basics of describing and transforming vector objects in 3D space. The issue of modeling a virtual 3D scene, types of scene lighting, mapping and texturing methods (semi-transparency, bump mapping) will be discussed. The basics of generating photo realistic images will be discussed - rendering and sample lighting models including the Phong lighting model and various shading models (flat shading, Gouraud shading, Phong shading) and rastering of the generated 3D scene. The next topic to be discussed will be the discussion of two global rendering methods - ray tracing and energy balance (radiosity) methods. Finally, the theoretical foundations of the process of creating computer 3D animations and the stages of creating 3D animations and the basics of the OpenGL library will be discussed. The overall process of creating 3D animations will be discussed
Laboratory topics (remote classes, MS Teams platform): As part of laboratory exercises, students complete a series of practical exercises familiarizing them with the basics of using various types of software for processing various types of graphics. Among other things, they will become familiar with the use of tools for designing and processing vector graphics and will familiarize themselves with the basics of using the most important systems for creating 3D graphics. As part of the laboratory, students will complete an independent group project, which is a 3D animation.","Learning basic techniques in computer graphics and selected graphic systems. The subject is intended to teach the student the basics of creating graphics. After completing the subject, the student should independently create an animation of medium complexity. Introduction to basic issues in the field of computer graphics.",Polish
15,Introduction to Intelligent Systems,2,Lack,2.0,concepts of intelligent systems; concepts related to automatic logical reasoning; basics of machine learning; principles of operation of neural networks and deep learning; basics of multi-agent systems; basic concepts of game theory; explanations of the current state of advancement of intelligent systems and directions of development of artificial intelligence,"Introduction to intelligent systems.
Automatic inference
Machine learning
Neural networks and deep learning
Multi-agent systems
Elements of game theory",Introduction to Intelligent Systems. Automatic Reasoning. Machine Learning. Neural Networks and Deep Learning. Multi-Agent Systems. Elements of Game Theory,Polish
16,Operational research,2,"Mathematics - matrix calculus, elements of discrete mathematics, elements of mathematical analysis",2.0,selected operational research problems and methods for solving them; model and solve selected optimization problems; formulate a mathematical model of transportation and allocation problems; analyze complex projects using network programming methods; interpret the results of a mathematical model in relation to a practical problem; help in solving real economic or business problems by interpreting them as special cases of generic operational research problems that can be analyzed,"Introduction to Operational Research, historical outline, scope of the discipline, connections between Operational Research and other fields
Linear programming. Solving problems using the graphical method and the simplex method
Dual problems
The issue of allocation
Network programming
Ranking theory
Integer programming","Introduction to Operations Research, Linear Programming, Sensitivity Analysis, Integer Programming, Transportation Problem, Assignment Problem, Nonlinear Programming, Game Theory Elements",Polish
17,Physics 2,3,,4.0,"issues of: electromagnetism, Maxwell's equations, electromagnetic waves, optics, interaction of radiation with matter and the basics of quantum mechanics and solid state physics, necessary to understand basic physical phenomena in nature and technology, and in particular in information technologies (systems for storing, processing and transmitting information).; the importance of physics as a natural science, its place and role in today's science and technology, especially the importance of solid state physics for applications in information technologies, notices the mutual relations between theory and experiment.; current knowledge in the field of modern physics, the current state of research (monitors the development of physics).; analyse measurement results, taking into account the uncertainty of results, as well as prepare reports; use in practice the issues of: electromagnetism, Maxwell's equations, electromagnetic waves, optics, interaction of radiation with matter and the basics of quantum mechanics and solid state physics, necessary to understand basic physical phenomena in nature and technology, and in particular in information technologies (systems for storing, processing and transmitting information).; operation of modern measuring devices and is able to design new experiments based on the principles learned; basics of planning and carrying out measurements of physical quantities; recognizing the need to develop practical skills in describing physical phenomena; to use the acquired knowledge in the field of electromagnetism, modern physics and solid state in practice, among others in information technology; to cooperate in performing laboratory tasks and take joint responsibility for developing and presenting the results of their work.","Electrostatics. Basic concepts: field, potential, potential energy, flux. Electric dipole. Examples of Gauss's law (linear, surface volumetric charge distribution). Capacitors, electric field energy. E. Dielectrics, piezoelectricity.
Direct current. Current and Ohm's law. EMF - electromotive force and internal resistance. Electrical conductivity in metals and semiconductors. Kirchoff's laws. RC and RLC circuit.
Magnetic field. Induction vector B, Lorentz force, electrodynamic force. Examples: Hall effect, e/m, cyclotron, mass spectrometer. Ampere's law, Biot-Savart's law, examples of calculating the magnetic field, Faraday's law and Lenz's rule. Inductance and self-induction. RL circuit, B-field energy, magnetism of matter and its applications.
Maxwell's equations and electromagnetic waves. Divergence and rotation operators, application examples. Stokes' theorem. Magnetism of matter, displacement current, Induced B and E fields. Wave equation. Energy of an electromagnetic wave, Poyting vector. Spectrum of an electromagnetic wave.
Geometrical and wave optics. Fermat's principle, laws and phenomena of geometrical optics, wave optics - interference, diffraction (1 and 2 slits), diffraction grating. X-ray radiation, X-ray diffraction (Bragg's law). Polarization, birefringence. Speed ​​of light.
Theory of relativity. Lorentz transformation, length contraction, time dilation. Velocity in inertial frames. Relativistic mass and energy.
Particle-wave phenomena, atom. Thermal radiation, photoelectric effect, Compton effect. Bohr's model of the atom.
Matter waves, Schroedinger equation. De Broglie hypothesis, Heisenberg uncertainty principle. Time-dependent and time-independent Schroedinger equation, wave function and its properties.
Atomic physics. Excited energy state of the atom. Discrete atomic spectrum (spontaneous, stimulated, resonant emission). Anti-Boltzmann population distribution, gas lasers (electron pumping), ruby ​​laser (optical pumping).
Elements of solid state physics. Types of atomic bonds. Electron in a periodic lattice, effective mass. Intrinsic and impurity semiconductors, temperature dependence of conductivity. Physics of basic elements of micro- and nanoelectronics. Superconductors.",Theoretical and experimentally acquired knowledge in the field of classical physics and contemporary physics allows one to learn and understand the principles of describing physical quantities and phenomena.,Polish
18,Elements of modern physics,3,"Knowledge of classical physics, mathematical analysis and basic probability theory",3.0,"basic issues of modern physics; perform simple experiments in the field of modern physics, analyze experimental data and draw conclusions on their basis; obtain information from the Internet and professional literature in order to understand selected issues in the field of modern physics; cooperate with other students in order to jointly solve an experimental problem in the field of modern physics; expand their knowledge in the field of modern physics.","Elements of quantum mechanics: wave-particle duality, de Broglie wave, Bohr model, quantum nature of radiation.
Elements of quantum mechanics: Schrödinger's equation, wave function and its interpretation, Heisenberg's uncertainty principle.
Elements of atomic physics: hydrogen atom, Zeeman effect, electron spin, Pauli exclusion principle, multi-electron atoms, periodic table of elements.
Lasers.
Elements of condensed matter physics: chemical bonds, crystal structure of solids, semiconductors, insulators, superconductors.
Elements of nuclear physics: radioactive decays, fission reactions, fusion reactions, interaction of nuclear radiation with matter, nuclear reactors, nuclear fusion in stars
Elements of cosmology.
Laboratory exercises covering selected aspects of condensed matter physics and atomic physics.","1. Elements of quantum mechanics: wave-particle duality, de Broglie wave, Bohr's model, quantum nature of radiation. 2. Elements of quantum mechanics: Schrödinger's equation, wave function and its interpretation, Heisenberg's uncertainty principle. 3. Elements of atomic physics: hydrogen atom, Zeeman effect, electron spin, Pauli's exclusion principle, multi-electron atoms, periodic table of elements. 4. Lasers. 5. Elements of condensed matter physics: chemical bonds, crystalline structure of solids, semiconductors, insulators, superconductors. 6. Elements of nuclear physics: radioactive decays, fission reactions, fusion reactions, interaction of nuclear radiation with matter, nuclear reactors, nuclear fusion in stars 7. Elements of cosmology.",Polish
19,Advanced programming 1,3,Knowledge of the basic concepts of the object-oriented paradigm. Knowledge of programming basics.,5.0,"Knows and understands the basic features of object-oriented programming languages ​​and is able to indicate their implementation in Java.; Knows the syntax of the language, including: rules for declaring classes, interfaces, methods, inner and nested classes, exception handling, inheritance mechanisms, basic language API; Understands the semantic model of the language, including: memory management, implementation of polymorphism, use of immutable objects, associations of inner and outer classes.; Knows and understands concurrency mechanisms in Java.; Knows the basic components of Java API, including implemented containers (including generic ones); Is able to design, implement and manage the process of building a Java program based on external libraries, logically distributing code between classes and interfaces.; When solving a programming problem, is able to select and properly use elements of Java API libraries. Is able to use concurrency mechanisms in the program. Is able to implement a program with a graphical user interface.","Introduction. Java platform and its elements. Compilation and execution of Java programs.
Java program building tool: Maven
Objects and references. Data types. Unicode platform. Syntax of control statements and expressions. Class declaration. Packages. Member fields and methods. Access modifiers. Static fields and their initialization. Methods and their modifiers appearing in their declarations. Arrays and containers in Java. Constructors. Cloning. Deleting objects. Interfaces. Implementing interfaces. Constants and inner types. Inner classes and nested classes. Exceptions, exception hierarchy. Checked and unchecked exceptions. Exception chains. Finally block. Annotations. Generic types. Principle of container construction. Reflection mechanism.
Concurrent programming mechanisms in Java. Threads and their implementation problems. Thread state diagram. Thread management functions. Daemon threads. Implementation of concurrent programming patterns. Mutual exclusion and synchronous methods. Monitor construction. Thread synchronization using wait and notify methods. Elements of the java.util.concurrent package.
Programming graphical interfaces in Java (including web applications based on JSF or similar technology).
Creating Programs: Declaring Classes. Implementing Composition and Inheritance Examples. Using Interfaces. Managing the Application Build Process
Using input output libraries
Tasks using concurrency. Examples of producer and consumer, readers and writers patterns. Application of selected mechanisms of the java.util.concurrent package.
Programming applications with GUI.",Can create complex programs using the object-oriented paradigm in Java,Polish
20,Numerical methods,3,Basic skills and knowledge of mathematical subjects and programming skills are required.,4.0,The student knows and understands where numerical errors come from; The student knows basic numerical algorithms; The student is able to implement basic numerical algorithms independently; The student is ready to develop knowledge and competences in the field of numerical methods,"Basic concepts and information about numerical computations Sources of errors in numerical computations, floating-point representation of numbers, interval arithmetic, conditioning of a numerical problem and methods of its evaluation, numerical stability of algorithms, basics of differential analysis of algorithm errors, numerical correctness of algorithms.
Solving nonlinear equations of one variable. Characteristics of iterative methods, convergence, convergence exponent of iterative sequence, method of iteration of straight line, bisection, Newton, secant and their modifications, convergence acceleration algorithm, Steffensen algorithm, Brent-Dekker algorithm. Homotopy functions and continuation methods.
Solving Systems of Linear Equations Direct Methods - Gaussian Elimination Method, LU Decomposition. Iterative Methods - Jacobi, Gauss-Seidel, Relaxation. Eigenproblem - Power Method, QR Decomposition. SVD Decomposition.
Interpolation methods Polynomial interpolation (Lagrange form of interpolation polynomial, Newton form of interpolation polynomial, interpolation error, Runge effect, Hermite interpolation, and estimation of its error, Chebyshev interpolation), spline interpolation with error estimation. Shape preserving interpolation - PCHIP.
Numerical differentiation and integration Real and complex difference quotients, dual numbers, automatic differentiation. The concept of linear quadrature, Newton-Cotes quadratures (simple and complex), order of quadrature, errors, convergence of a sequence of quadratures, acceleration of convergence, extrapolation methods - Romberg's method. Gaussian quadratures. Constant-step and adaptive algorithms.
Initial value problem of differential equations. Local and global error. Linear multistep methods, explicit and implicit Runge-Kutta methods, stability regions, constant-step and adaptive algorithms.
Outline of static optimization algorithms. Gradientless methods - Nelder-Mead, gradient methods - minimization in the direction and choice of the direction, methods of steepest descent, conjugate gradient, Newton, trust-region.
Approximation Mean square approximation, parametric (linear and nonlinear) and nonparametric (LOWESS) regression, spline approximation, multivariable approximation.
Solving systems of nonlinear equations, fixed point method, Newton, Jacobi matrix. Introduction to the boundary value problem of differential equations.","Basic concepts and information about numerical calculations, Interpolation methods, Numerical integration, Solving nonlinear equations, Solving systems of linear equations.",Polish
21,Fundamentals of artificial intelligence,3,"1. Good knowledge of English. 2. Good knowledge of the basics of logic, algebra and graph theory. 3. Knowledge of logical/declarative programming, knowledge of Python, basics of programming, Linux. 4. Enthusiasm, perseverance and zeal and the ability to STUDY. 5. Ability to study materials independently and analyze them critically. 6. Ability to take notes during the lecture. The lecturer does not consent to any form of electronic recording (audio or video).",3.0,"Theory, models, methods and classification of Artificial Intelligence (AI) issues; Algorithms and tools and how to use them for AI purposes; Design, build and analyze models of AI systems and use programming tools.; Is able to present and discuss various aspects of AI, in the context of the impact on the economy, society, science, development - as well as in the context of the philosophy of existence, consciousness, will, faith and reason.","Introduction: history, systems, methods, application areas. Definitions of AI. Architectures of intelligent systems. Knowledge base systems (KBS). The concept of an intelligent agent. Methods of representing and processing symbolic knowledge. Logic in AI. Problem examples. Classification of models, methods and tools. State space search algorithms. Heuristic search methods. Prolog and logic programming as AI tools. Constraint programming. Rule, expert and business rule systems. Decision support systems. Representation of uncertain and incomplete knowledge. Probabilistic methods. Bayesian rule and networks. Planning. Automatic generation of plans. Teacher-guided and unsupervised machine learning. Computational intelligence: neural networks, genetic algorithms and other biology-inspired methods. The concept of semantic network and ontology. Other selected AI topics. Summary. Development directions.","Classification of problems and areas of application and methods of representing and processing knowledge, especially symbolic knowledge, for the needs of Artificial Intelligence.",Polish
22,Databases,3,Knowledge of discrete mathematics in the field of set algebra and relational algebra. Basic knowledge of logic. Knowledge of operating systems and basic use of computers. Knowledge of English at a level that allows studying professional literature.,4.0,basic concepts and notions of relational databases; basics of the relational data model; basic SQL language constructs; basic principles of database design; operate the conceptual apparatus of databases; use the SQL language at a basic level; design and implement a simple database; use and popularize the acquired knowledge about databases in the enterprise and society,"Introduction to relational databases: basic relational database concepts, database management system, client-server architecture, PostgreSQL.
Query definition language: attributes, domain types, PostgreSQL data types, projection and selection, query merging, joins, aggregate functions, group by and having clauses, subqueries. Data manipulation: insert, update, delete statements.
Database design: entity-relationship model, logical data model, physical relationship design, lossy and lossless decomposition, functional dependencies, keys, normal forms, normalization algorithms.
Language for defining data structures: creating and modifying tables, creating new data types, sequences, views.
PL/pgSQL language, triggers and triggered procedures.
Transactions. User and permission management.","Introduction to relational databases, Query definition language, Database design, Data structure definition language, SQL, Data processing, Transactions.",Polish
23,Formal linguistics and automata,3,"General knowledge of programming languages ​​provided in the study program, cursory knowledge of the compilation/translation process. Knowledge of basic concepts in mathematics and algorithms (logic, set theory, relations, computational complexity)",3.0,"Knows and understands the basic concepts related to formal languages; Knows and understands the concept of grammar, grammatical parsing, knows and understands the meaning of Chomsky's classification of languages; Knows and understands the concept of a finite automaton and a regular expression and the basic algorithms and transformations related to them; Knows and understands the principles and algorithms of automaton optimization; Knows and understands the basic parsing methods; Can define formal languages ​​using the concept of grammar, automaton and regular expression; Can perform syntactic analysis for defined formal languages; Can perform basic transformations in the area of ​​grammars, finite automata and regular expressions; Can perform optimization of a finite automaton; Knows the importance of formal and natural languages ​​in contemporary reality","Basic concepts, division of languages, components of language, language and metalanguage, basic methods of defining languages. The concept of generative grammar, language generated by grammar, basic operations on languages, Chomsky classification. Grammatical parsing, the problem of recurrence, the problem of uniqueness of grammar. Deterministic and nondeterministic automaton, languages ​​accepted by automata, basic operations and properties, determinization of automaton, epsilon-transitions. Regular languages ​​and their properties, automata and grammars. Rabin-Scott, Moore, Mealy automata. Pumping lemma for regular languages, Myhill-Nerode theorem. Closure properties and decision problems for regular languages. The problem of minimizing a finite automaton - algorithms and examples. Definition of a regular expression, laws and properties for regular expressions, transformations between automata and regular expressions. Applications of regular expressions. Pushdown automata and context-free languages. Meaning and examples of context-free languages. Acceptance of an automaton, pushdown automata and context-free grammars, equivalence problem. Normal forms of context-free grammars, Chomsky-Greibach form, pumping lemma for context-free languages, closure properties and decision problems for context-free languages. Linear-bounded automata, Turing machine and its variants, context-sensitive languages, properties. Introduction to parsing. Nondirected methods: Cocke-Younger-Kasami algorithm. Directional methods: Earley algorithm. Languages ​​and automata and computational complexity. Deterministic and nondeterministic Turing machines. Recursive and recursively enumerable languages, Church's thesis, undecidable problems.
The course includes auditorium exercises. The content of these classes consolidates the knowledge provided during lectures. The aim of the classes is to acquire practical skills in the design of formal grammars, syntactic verification of defined languages, transformations within grammars, automata and regular expressions, transformation of grammars and optimization of automata, basic parsing methods","Basic Concepts The concept of generative grammar, language generated by a grammar, basic operations on languages, Chomsky classification. Grammar parsing, the problem of backtracking, the problem of uniqueness of grammars. Deterministic and nondeterministic automata, Pumping lemma for regular languages, Myhill-Nerode theorem. Definition of a regular expression, Applications of regular expressions. Pushdown automata and context-free languages, Chomsky and Greibach form, properties and problems for context-free languages. Linear-bounded automata, Turing machine and Introduction to parsing. Languages ​​and automata and computational complexity.",Polish
24,Software Engineering,3,Knowledge of programming processes and paradigms acquired during studies,4.0,Knows and understands the basic concepts and issues related to software engineering; Knows and understands the tools of structured analysis; Knows and understands the processes of modeling system use cases; Is able to analyze a selected issue using the structured method; Is able to analyze a selected system using UML use cases and their scenarios; Knows the importance of software engineering in today's reality,"Introduction to software engineering. Basic concepts and issues, review of issues. IT project pages. Forward engineering, reverse engineering. Structured analysis and design. The importance of the analysis phase in an IT project. Structured approach: data flow model, data model, dynamics model. Structured design. Analysis of real-time systems. Introduction to UML. Modeling system functionality. Formalization of use cases, system scenarios, effective scenario writing. Class and object models. Software life cycle models. Agile methodologies for IT projects, extreme programming. Classical requirements engineering, requirements life cycle, system context in requirements engineering. Stakeholders, system viewpoints. Requirements classification, requirements elicitation, requirements analysis, CRUD, requirements inspection, requirements specification and management, CMMI and good practices. Basic types of IT system architecture. Architecture design (models, styles, patterns and architectural views, 4C approach), The role of interfaces in systems. The quality aspect of architecture selection. Principles and practices of code design and implementation. Code smells. Refactoring. SOLID, GRASP, DRY, KISS principles and others. Introduction to testing, tests and requirements set.
The aim of the exercises is to build analytical models including a structural approach and UML use cases including, among others, sample elements of requirements engineering such as stakeholder identification, requirements elicitation. On this basis, a system model is created: the functional scope is defined, the domain model. Identification of key functionalities. The domain area of ​​the project may include different areas.","Introduction to software engineering. Structured analysis and design. Structured design. Analysis of real-time systems. Introduction to UML. Software life cycle models. Agile methods for IT projects, extreme programming. Classical requirements engineering, requirements life cycle, system context in requirements engineering. Basic types of IT system architecture. Principles and practices of code design and implementation.",Polish
25,Advanced programming 2,4,"Working knowledge of object-oriented programming (C++, Java) is required.",4.0,"the structure of the .NET platform, the syntax of the C# language and the basic programming concepts contained therein, and knows how the runtime environment functions and what compilation to bytecode (managed) involves.; the assumptions of the programming paradigms: object-oriented, generalized, component-based, dynamic, multithreaded, and knows how to implement them in the C# language, and what are the differences in the above issues in relation to the C++ and Java languages.; existing database access patterns: Active Record, DAO, etc., with particular emphasis on the Entity Framework technology; the functional and reactive programming paradigm - what it is, what distinguishes it.; using popular programming environments (Visual Studio/Visual Studio Code), create applications using the C# language, the .NET platform, and the programming paradigms offered by this technology.; independently search for detailed information in the available C# documentation resources.",".NET Framework. What is the .NET platform, what is the C# programming language? .NET Core Library. Work Environment (Visual Studio, Visual Studio Code).
Elements of the C# language: base types, classes, structures, interfaces, delegates, value brackets, generic types, anonymous methods, iterators, LINQ, asynchronous programming, unsupervised code Delegates. Events. Lambda Expressions
Cooperation with the database using EntityFramework - using the CodeFirst and DataFirst approaches
The concept of streams in programming - reactive streams Learning the Rx library family... from a practical perspective - exercises with streams, operators and subjects (types subjects etc.) The Rx.NET library as an example of an asynchronous and event-based programming library
Selected .NET libraries (WPF, UWP) and C# language applications (Unity).",".NET Framework. What is the .NET platform, what is the C# programming language? .NET Core Library. Work environment (Visual Studio, Visual Studio Code). C# language elements: Delegates. Events. Lambda expressions Cooperation with the database using EntityFramework The concept of streams in programming Rx.NET Library Selected .NET libraries (WPF, UWP)",Polish
