,course_name,semester,prerequisites,ects,effects,aims,program_content,program_content_ensuring_outcomes,language
11,Statistics,2,"Basic knowledge of algebra ,calculus and Excel.",5.0,,"A working understanding of data analysis from the perspective of estimating uncertainty, testing hypotheses and handling real experimental data","1. Working and presentation of data 2. Reduction of data 2.1 Sample mean, variance, standard deviation, mode, median, percentils, Skewness, sample correlation coefficient 3. Probability 3.1 Basic definitions - sample space, event, operation on events 3.2 Probability space 3.3 Conditional propability, Bayes' Theorem 4. Random Variable (RV) and probability distribution 4.1 Discrete distributions 4.1.1 Binomial, Hypergeometric, Poisson, dis. 4.2 Continues distributions 4.2.2 Normal and Standard Normal dis. 4.3 Cumulative distribution 4.3 Expected value and variance of RV 5. Central Limit Theorem 5.1 Binomial vs Normal 5.2 Chi-squered distribution 6. Estimators 6.1 Point Estimator 6.1.1 Estimator of population mean and variance 6.2 Interval Estimator 6.2.1 Interval estimators of the mean of a normal population 6.2.2 t-Student distribution 6.2.3 Length of the interval 7. Statistical Hypothesis Testing 7.1 Tests concerning the mean of a normal population 7.2 p-value 7.3 Tests concerning two populations 8. Experimental errors 9.Chisquared test 10. ANOVA 1 and 2 factors",The lecture is aimed at giving students a comprehensive view on modern data analysis using statistical methods. We also show a close connection between statistics and machine learning.,English
12,Differential calculus,2,Rudiments of calculus and linear algebra.,3.0,,"To provide students with an introduction to the theory of ordinary differential equations: applications, types of differential equations and methods of solution.","Ordinary differential equations: an introduction (solutions and initial value problems, direction field, the approximation method of Euler) First order differential equations: separable equations, linear equations, homogeneous equations, exact equations Higher order linear differential equations: fundamental solutions, homogeneous linear equations with constant coefficients, superposition, non-homogeneous equations, method of undetermined coefficients, variation of constants Laplace transform: definition of the Laplace transform and its properties, inverse Laplace transform, solving linear ODEs with Laplace transform
Program of the classes coincides with the program of the lectures.",This course focuses on ordinary differential equations and their applications in science and engineering.,English
13,Physics II,3,"Advanced Calculus is not assumed, some essential concepts will be developed as the course progresses (partial derivatives and multiple integrals are used slowly at first, and routinely later on).",5.0,,"This part of physics course covers electrodynamics and modern physics concentrating on introducing the basic concepts, formulas, and terminology of a broad spectrum of modern physics topics.","Electrostatics I: Examples and applications 1. Coulomb law and the electric field - point charges, electric field lines 2. Gauss law - electric field of a continuous charge distribution, electric flux, flux through a cube, through a sphere 3. Application of Gauss's Law to charged insulators, conductors in electrostatic equilibrium 4. Motion of charged particles in a uniform electric field.
Electrostatics II: Examples and applications 1. Electric potential due to several point charges, dipole and continuous charge distributions 2. Simple applications of electrostatics: calculating capacitance ,capacitors: parallel-plate capacitor , cylindrical and spherical capacitors, energy stored in a charged capacitor, capacitors with dielectrics (polarization). 3. Equivalent capacitance - parallel and series combinations of capacitors 4. Electric dipole in an electric field (torque).
Electric current and Electromotive force: Current, direction of current flow and current density, resistivity and resistance, electromotive force (internal resistance, terminal voltage),voltage sources, direct -current circuits and symbols for circuit diagrams, Ohm's Law, resistors in series and in parallel, Kirchoff's Law's and signs convention, energy and power in electric circuits, ammeters and voltmeters, R-C circuits, conductors and semiconductors.
Magnetism: Examples and applications 1. Sources of the magnetic field (Biot-Savart law - thin straight conductor, curved wire segment, circular current loop, toroid, solenoid) 2. Motion of a charged particle in a uniform magnetic field (cyclotron, mass spectrometer, Hall effect) 3. Magnetic force acting on a current- carrying conductor (on a current segment, magnetic force between two parallel conductors) 4. Magnetic flux and Gauss's law in magnetism (rectangular loop). 5. Ampère's law- some applications,
Electromagnetic Induction: Faraday's Law, direction of induced electromotive force (EMF), generators and alternating current, Lenz's Law and response to flux changes, motional EMF, induced electric fields, displacement current and Maxwell equations for electromagnetism, Lorentz's force, inductance, mutual inductance, self-inductance and inductors, magnetic- field energy and energy storage in inductors, electromagnetic oscillations and currents: R-L, L-C and RLC circuits, impedance and phase angle, alternating current circuits,radio receivers, transformers.
Electromagnetic Waves: Generating electromagnetic radiation, Maxwell's equations and wave solutions to Maxwell's equations, key properties of electromagnetic waves, electromagnetic spectrum, speed of light, plane electromagnetic wave, Poynting Vector and electromagnetic energy flow -intensity, standing waves, polarization.
Inductance: Examples and applications 1. Self - and mutual inductance 2. Self-induced emf, inductance and emf of a solenoid 3. RL circuits( energy in a magnetic field, energy stored in an inductor, 4. LC and RLC circuits ( oscillations) 5. ac sources and resistors, inductors and capacitors in an ac circuit 6. RLC series circuit ( phasors, resonance, quality factor) 7. AC transformer'
Electromagnetic Induction: Examples and applications 1. Faraday's law of induction (motional emf - emf in a coil, rotating and sliding bar). 2. Lenz's Law and its applications (loop moving through a magnetic field). 3. Induced electric fields (by a changing magnetic field in a solenoid, direct current (dc) and alternating current (ac) generators, eddy currents 4. Displacement current and Ampère-Maxwell law (displacement current in a capacitor)'
Maxwell's Equations and electromagnetic waves: Examples and applications 1. Properties of Maxwell's equations 2. Wave solutions to Maxwell's equations (derivation of the Wave equation) 3. Poynting vector and energy transport (energy flux, radiation pressure and radiation pressure from a laser pointer, solar panels)
Light - nature and propagation: Wave front and rays, principle of last time, law's of reflection and refraction, total internal reflection, dispersion, polarization, Huygen's Principle, geometric optics - mirrors, lens images, eye and defects of vision, microscopes and telescopes, wave optics - interference (Michelson interferometer, coherence) and diffraction (single- slit and two - slits diffraction,diffraction grating, spectrographs, circular apertures, diffraction and image formation, X-ray diffraction).
Geometric Optics: Examples and applications 1. The Ray Approximation in geometric optics: light rays and shadows, Huygens' Principle applied to reflection and refraction 2. Reflection and refraction (the double-reflecting light ray, angle of refraction for glass, light passing through a slab, dispersion and prisms, the rainbow) 3. Total internal reflection (a view from the fish's eye, fiber optics) 4. Mirrors, lenses and images: ray diagrams, flat mirrors, spherical mirrors (concave and convex), flat refracting surfaces, spherical lens, thin lenses- ray diagrams for thin lenses, two lenses in a row-microscope, telescope. 4. Antennas, standing wave in cavity (microwave oven), electromagnetic spectrum
Wave Optics: Examples and applications 1. Interference and Young's double-slit experiment (measuring the wavelength of a light source), thin-film interference and Newton's rings, lens coating, interferometer). 2. Diffraction- single-slit diffraction (width of central maximum), diffraction by a circular opening, diﬀraction grating (cd or dvd as diffraction grating), x-ray diffraction and crystal structure. 3. Polarization of light waves - Malus's law, polarizer, polarization by reflection- Brewster's law'
Nuclear Physics: Examples and applications 1. Nuclear Properties: isotopes, nuclear radius and nuclear density, nuclear lifetimes, nuclear and atomic mass, binding energy 2. Nuclear reactions and Q-values: separation energy, radioactivity- exponential decay law, alpha decay, beta decay, gamma decay, carbon dating, units of radioactivity 3. Nuclear fission(fission energy yield) and nuclear fusion (fusion in the Sun)
Quantum Physics - atoms, electrons and photons: The nature of matter, space, and time, emission and absorption of light, photoelectric effect and Einstein's photon explanation, atomic line spectra and energy levels, the Bohr model, Compton scattering, blackbody radiation -continuous spectra and Planck's radiation law, wave-particle duality
Quantum Physics: Examples and applications 1. Thermal radiation, Planck's Hypothesis (radiation laws, thermal radiation from the human body, the quantized macroscopic oscillator) 2. The Photoelectric Effect (work function, photoelectrons from sodium, a photomultiplier tube, photons from a laser pointer) compton scattering Compton Scattering 3. Matter Waves: de Broglie wavelength of a raindrop, double-slit experiment for particles Heisenberg uncertainty relations: gamma-ray microscope and the uncertainty relation, energy-time uncertainty,","This part of physics course covers electrodynamics and modern physics concentrating on introducing the basic concepts, formulas, and terminology of a broad spectrum of modern physics topics.",English
14,Physics lab,3,A basic course in general physics is necessary to understand the basis of the performed experiments. Analysis of the experimental data requires knowledge of calculus and elements of statistics.,2.0,,,"Introduction to the experimental data analysis.: Introduction to methods of data analysis and estimation of the experimental uncertainty. Least square method in regression analysis. (2h)
Laboratory Course in Practical Physics: The goal of a laboratory course is to prepare students for the solution of practical problems they might meet during their professional career. Students learn basic experimental techniques and methods of analysing experimental data. Students acquire the skill and technique in the manipulation of scientific instruments and the ability to analyse the experimental data. Therefore, the course covers basic experiments, which students perform personally, working in teams of two. Students are assigned five out of twelve experiments, listed below. Each class starts with checking students' knowledge concerning current experiment. Afterwards, students perform measurements, working in pairs. Analysis of experimental data follows, partly performed during the class and finished individually at home. All the data, results and conclusions are summarised by each team in a report, subject to rating. Such a system ensures that students acquire the ability to analyse a given assignment individually as well as gain experience in cooperation with a colleague, necessary for team work. Laboratory practicals will be held at Students Laboratory WFiIS AGH. The list of experiments: 1. Determination of the acceleration due to gravity by means of a simple pendulum. 2. Refractive index of solids or liquid crystals. 3. Determination of the coefficient of viscosity for glycerine. 4. Physical pendulum, moment of inertia. 5. Velocity of sound by the interference of acoustic waves method. 6. Determination of Young modulus of a rod. 7. Focal length of a concave and a convex lens. 8. Verification of formulas for resistance in series and parallel using a Wheatstone bridge. 9. Wetting angle and surface tension. 10. Electrolysis and determination of the Faraday constant. 11. Parallel plate capacitor: determination of the dielectric constant and the speed of light. Relative permittivity of a dielectric medium. 12. Diffraction and interference of laser light.",A course in practical physics is designed to allow students acquire the skill and technique in the manipulation of scientific instruments and equipment as well as the ability to analyse the experimental data.,English
15,Object Oriented Programming,3,"Ability to program in C and C++. Knowledge of the basics of object-oriented methodology at the level of the ""Programming Languages II"" module.",6.0,,,"Laboratory classes: 1. JDK and tools available in the computer lab. - preparing a file with the source code of a simple program in Java language, based on examples from lectures, using generally accepted conventions for Java, - compiling it to the form of the byte code, interpreting the error messages and using them to introduce corrections in the code, - executing the program using a runtime environment. 2. Defining classes and creating objects in Java. - applying the available basic types, - defining classes with a set of fields, constructors and other methods (including overloaded ones), in accordance with the presented requirements, and placing prepared definitions in the appropriate files, - utilizing self-defined classes and basic library classes (e.g. String) to create objects, and using them with the help of references and available operators, - access (public, private, package) to the components of classes; using fields, methods and final classes, - the life cycle of the object, and its relationship to memory management in Java, - arrays for both simple types and objects, - how to define and use internal classes and enumeration types, - creating packages and preparing the appropriate structure of directories and source files, - differences in the implementation of the above tasks in Java and C++ languages. 3. Inheritance, interfaces and polymorphism. - hierarchy of inheriting classes corresponding to a general description of the problem, - possibilities that arise thanks to the inheritance from the Object class and its methods, - operating on objects using the effects of polymorphism, - internal classes related to inheritance relations, - how to define and use abstract classes and interfaces. 4. Exceptions and error handling. - planning how to handle errors and implement the solution using the mechanism of exceptions, - using the library classes representing exceptions and defining own classes for this purpose by placing them appropriately in the inheritance hierarchy. 5. Input/output operations, serialization. - objects representing the basic types of data streams: byte and character, buffered, associated with standard system streams, - the mechanism of writing and reading data in the application, using appropriate streams and taking into account the handling of exceptions characteristic for input/output operations, - how to serialize and deserialize an object and control which components will be subject to this process, - checking the compatibility of versions of serialized and deserialized objects. 6. Generic classes and methods. - defining methods and classes using one or several type parameters to simplify the solution to a given problem, - restricted types and wildcard arguments. 7. Collections and algorithms. - choosing the optimal collection as the most convenient data structure in a given situation, - implementations of collections - iterators, - algorithms and comparators. 8. Threads. - creating new threads and giving them different priorities, - how to synchronize the operation of threads, - communication between threads. 9. java.util package. - overview of the java.util package classes (including Date, Random, classes for strings handling, compression and archiving of data). 10. Network support. - classes from the java.net package used to transmit data using standard network protocols, - designing simple applications that work according to the client-server architecture. 11. Annotations and testing. - typical annotations to providing information for the compiler, - defining new types of annotations, - the mechanism of assertions used to basic diagnostics, - tests using JUnit and/or other tools.
Lectures: - Java language: characteristics, syntax, code creation conventions, data types, operators. Compilers and development environments. - Java classes: methods and fields, data access and encapsulation, static components, final components. Final classes. Organization of source files. Documenting classes in Java. One- and multi-dimensional tables, Arrays class. - String class and other basic Java classes. Packages: how to use and how to define them. Overloading methods. Constructors. The ""this"" reference. - Memory management, Garbage Collector. - Inheritance. Polymorphism. Early and late binding. Interfaces. Internal classes. Enumeration type. - Exceptions and error handling, checked and unchecked exceptions, hierarchy of classes representing exceptions. - Reflection mechanism - type detection. Class object. - Input/output operations. Byte and character streams. Buffering. - Serialization. Networks of objects. Versions of serialized objects. - Generic classes. Generic methods. Raw types. - Collections, iterators, comparators, algorithms. - Threads: startup, priorities, synchronization, communication. - Support for network operations. Library classes from the java.util package. - Annotations. Testing: assertions, JUnit. Debugging, JDB.","The aim of the course is to get acquainted with object-oriented programming techniques based on Java language, including software testing, thread usage or network support.",English
16,Databases I,3,,6.0,,,"Databases idea. Analysis and design of IT systems: structural analysis, Data FLow Diagrams, Entity Relationship Diagrams. CASE tools for databases design. Relational databases (keys, tables, indexes, relationships, forms, queries, reports). Structured Query Language. Programming interfaces for databases (basics). No-SQL - non- relational databases. Lectures: * Databases - introduction * Databases - components * Data models * Relational data model * Normalization * ERD * Relational Databases Management Systems * Relational algebra * SQL * API's for Databases * Non-relational databases
Topics: 1. Introduction to databases. Database Types and objects - Fundamentals of creating database structures (DDL). 2. Constraints in databases: primary and foreign keys, uniqueness, business logic. 3. Database Modeling - Part one: ERD diagrams. 4. CRUD interface: Create, Read, Update, Delete 5. Selecting data from multiple tables - joins, reporting. 6. Operators on collections: Concatenate multiple query results, nested and correlated queries. 7. Grouping and aggregation: goals, operators, syntax. 8. Database connection: How to connect a database to an external application. 9. Database Modeling - Part two: normal form. 10. Transactions in databases: The ACID model, the validation and rollback mechanism. 11. Functions, procedures, triggers. 12. Common Table Expressions (CTE) - Improved code readability. 13. Database Modeling - Part three: Functional dependencies. Terms of credit: 1. Attendance at least 11 classes; 2. To obtain a positive assessment from the average of 5 small projects carried out alone in classes; 3. Obtaining a positive assessment from a large final project, carried out outside the course of time.",This course gives the basic knowledge of modern databases. Both relational and non-relational databses are discussed. Practical part includes designing and implementing of SQL and noSQL databases.,English
17,Operating Systems,3,"Student needs to be be acquainted with the work with Unix-based systems (e.g. Linux) as a user and with programming in C language,",6.0,,Familiarize students with the organisation and functioning popular operating systems and their most important mechanisms.; Make students acquainted with programming of the basic system mechanisms at the user level on the example of the Linux system.,"Introduction.: During laboratory activities, it is necessary to prepare a set of exercises which concern the use of the selected system mechanisms. Additionally the students have to pass practical tests. One can distinguish three groups of subjects of exercises: introduction, process and threads management, interprocess communication and synchronization. The exercises in the introduction part encompasses: * code optimization techniques, * memory allocation management, * development of static and dynamic libraries, * time measurements, * file operations,
Operating Systems Overview: Computer system overview. Microprocessors. Instruction Execution. Interrupts. Memory. The evolution of operating systems. Developments leading to Modern Operating Systems. Microkernel Architecture. Microsoft Windows. Unix Systems. Linux.
Processes and threads management: Process creation and management. Threads - creation and management.
Processes and Threads.: Process structure. States of process. Process creation. Parent and child. Threads. Thread organisation. User level threads. Kernel threads. Lightweight process. Models of multi-threading. . Algorithms of processor planning. Uniprocessor scheduling. Multiprocessor i multicore scheduling. Real-time scheduling. Synchronisation. Critical section problem. Algorithms solving critical section problem. Semaphores. Monitors. Producer-consumer, reader-writer and dining philosophers problem. Deadlocks. Resource allocation graph. Deadlock prevention and avoidance. Safe state. Safe sequence. Banker algorithm.
Memory management: Memory. Organisation. Paging. Segmentation. Virtual memory. Swapping. Page replacement policies. Resident set management. Thrashing. Modules Static, shared and dynamic libraries.
Interprocess communication and synchronization: Signals, anonymous and named pipes, message queues, semaphores and shared memory, threads - synchronization, sockets.
File systems and Input-output management: File system realisation. Structure of files and directories. Files attributes. Allocation of space on the disk. Input-output management. Device drivers. Disk scheduling.",The student acquires knowledge about the organization and functions of modern operating systems and possesses the ability to use basic system mechanisms at the user level to develop a simple software.,English
18,Introduction to Computer Graphics,3,Elementary matrix algebra. Basic skills in C/C++  JavaScript programming.,5.0,,,"# Introduction to Computer Graphics. Basic ideas Classification of computer graphics . Differences between raster and vector graphics, 2D and 3D graphics. Analysis of the basic forms of fixed and programmable graphics pipelines. Brief description of graphics hardware. Review of computer graphics applications in various disciplines of science and technology. # Shadow mapping Basic algorithms for shadow creation. A simple shadow mapping on the plane. The usage of volumetric shadows. The usage of shadow maps. # Surface modeling Modeling using parametric curves and surfaces: Bezier and NURBS. Implicit surfaces. Marching cubes algorithm. # Advanced illumination models Ray tracing method. Global Illumination. Reflection and refraction rays. Optimization methods for ray tracing. Monte Carlo ray tracing. Photon mapping. # Making and rendering complex scenes Optimized rendering of complex scenes. Shading algorithms. Discussion on ‘sort first' and ‘sort last' methods. Parallel and multi-display rendering. # Visual modeling of natural phenomena. Future of computer graphics Concluding lecture. Basics models for visual modeling of natural phenomena. Comparison of physical and non-physical models. Presentation of the prospects for computer graphics. # Introduction to OpenGL/WebGL/Three.js General ideas and history of OpenGL/WebGL. Evolution of the library and fundamental differences in currently available versions. Discussion on library construction, basic functions, constants and system variables. Representation of geometric objects using a mesh of polygons. A structure of a typical WebGL/Three.js program. # Architecture and programming of graphics processing units Logical structure of GPU, description of selected examples. Discussion on cooperation CPU and GPU. The basics of the GLSL shaders language and the rules of including it into WebGL/Three.js code. # Geometry transformations 3D transformations. Discussion on affine transformations. Matrix representation of transformations. Transformations by using Three.js functions and direct manipulation on matrices. Merging transformations. Interpretation transformation in local and global coordinate systems. Movement of objects, and camera movement. Projection: types, characteristics and projection matrices. # Stack and hierarchical objects Discussion on changes in the coordinate system by putting transformation matrices on the stack. Building complex objects with many degrees of freedom. A detailed discussion of examples, e.g ‘solar system' and ‘walking robot'. # Color Perception. Illumination models A brief discussion on color theory and basic models of color. General discussions about the complexity and efficiency of the lighting model. Discussion on local ADS basic model. Using normal vectors in the calculation of lighting. Discussion on Phong, Blinn and Gouraud models of lighting. # Raster operations Overview of raster operations in OpenGL. Copying data blocks. The implementation of a sprite objects. Z-buffer and its features. # Texture mapping Basic concepts of textures and their parameters. Loading texture from file. Textures as Three.js objects. Texture mapping on geometric objects. Multitexturing, combining textures with lighting, mipmapping technique. Using textures to map the environment (sphere mapping, cube mapping). 3D textures.
# Set and visualize simple 3D scene built from ready-made objects. # Manipulating with geometry transformations. Flying over the scene. # Stack of transformation matrices. Construction of hierarchical objects. # Light modeling. # Texture mapping. # ‘Sphere mapping' and ‘cube mapping'. Special effects. # Putting the known elements into one program. # Presentation of the final program.
Students are required to complete an assigned project related to Computer Graphics.","Students will learn how to develop basic 3D graphics programs containing geometry object generation, texture mapping, illumination models, transformations, interactions and shaders programming. Tools used are: OpenGL/WebGL and Three.js libraries.",English
19,Databases II,4,Knowledge of relational database systems and SQL.,5.0,,,"* Relational database systems (short revision). * Database normalization and denormalization, impact on database performance. * NoSQL database systems: storage, processing, distribution, ACID and CAP. * GIS and spatial data. * Database systems for data warehouses, multidimensional data model, star schema. snowflake schema, OLAP cube operations. * Extract, Transform and Load (ETL) * Optimization of database performance. * Database systems security.
Implementation of a database system.
Gaining experience with database tools and programming.","The course recaps relational database models and their implementations, and goes beyond them towards: geo-spatial data processing, data warehouses, and non-relational models.",English
20,Software studio I,4,"Knowledge of methodologies of software analysis and design, programming skills",3.0,,,"The aim of the subject is to create a real project within a specific topic and thematic area with phases typical for IT projects, hence starting from the requirements engineering phase through the analysis phase, the general and detailed design phase, the implementation in a selected language, integration and finally, the testing and implementation phases. The project should also incorporate numerous important aspects such as: the choice of methodology for creating the project, the choice of software life-cycle, developing a timetable, the analysis of software architectures, versions and software configurations management and others.",The module aims to familiarize students with software engineering processes and cooperation within a project team.,English
21,Computer Networks,4,Basic knowledge about imperative programming. Basic information about operating systems.,5.0,,,"Basic issues concerning computer networks: Definitions related to computer networks. Principles and modes of data transfer in computer networks. Layered network architectures: the ISO-OSI model and other models, types of topologies of physical and logical computer networks, classifications of computer networks, organizations that regulate the development of computer networks. Transmissions in computer networks: Signal transmission - popular types of wired and wireless transmission media, topologies of computer networks, physical devices in computer networks (bridges, switches, routers, hubs, distribution boards, gates, hubs, etc.), baseband and broadband transmissions, data coding techniques in the transmission medium.
Ethernet networks i Ethernet Switches: Cisco Catalyst non-routing switches configuring techniques (EDGE segment). Cisco Catalyst Switches - configuring VLAN, VTP, VLAN Trunks. Configuring HP ProCurve, Allied Telesis, 3Com SuperStack, Nortel Networks, Linksys, Extreme Networks, Dell, Alcatel managed switches. Configuring interfaces and switch ports, telnet, SSH and WWW services, using the Terminal Access Server to configure Ethernet switches. Installation and management of Twisted Pair cabling, LSA connections, rack standards and related technologies, stacking of Ethernet switches, extensions of LAN installations: PLC gates, PoE systems, RS232 bridges. Fiber optic installations: cabling, passive devices, fiber optic media converters.
IP routing, part 1: Cisco IOS for routers. Basics of the operating system, configuring the router's IP interfaces, router network services, diagnostics operations. Configuring Legacy bridging / CRB / IRB bridges on Cisco routers. Point-to-point serial links in computer networks. Setting up Serial connections: Cisco routers and other assistive devices. Using Access Control Lists in Cisco IOS. Dynamic routing IGP (Interior) with Cisco equipment: RIP, OSPF, EIGRP. Redistribution of routes between IGP protocols. Routing between VLANs using router sub-interfaces and IEEE 802.1Q encapsulation.
Cable-based LAN, SAN, MAN and ISO OSI data layer: Theoretical foundations of Ethernet network operation and IEEE 802.3 standard (assumptions about this standard, types of physical media used, CSMA / CD, additional mechanisms: NLP / FLP, Auto-MDIX), MAC addressing, link access and collision detection, Fast, Gigabit characteristics , 10Gigabit, 40Gigabit, 100Gigabit Ethernet, VLAN (IEEE 802.1Q), Stacked VLAN Q-in-Q (IEEE 802.1ad), Cisco VTP and VTP Pruning, Private VLANS (Private, Isolated , Community VLANS), QoS (IEEE 802.1pi CoS definition in IEEE 802.1Q), configuring Ethernet managed switches, STP protocol (IEEE 802.1d), configuring IP addressing, ARP protocol, local area network diagnostics. Architecture of the CORE segment Ethernet switches: switches with Supervisor modules, switch fabric based architecture, internal switch system buses - channel management and use in module configuration, routing modules in switches. Overview of technologies used in wired LAN networks.
The Internet and Internet protocols: Internet network architecture, principles of Internet segmentation and addressing systems used on the Internet. IP protocol version 4 (basic protocol properties, IP datagram construction, datagram features enabling IP routing, fragmentation and defragmentation of IP packets, IP encapsulation), ARP protocol (operating principle, ARP packet format, MAC and IP address binding tables in devices, Inverse ARP and Reverse ARP, Proxy ARP), ICMP protocol (types of ICMP messages, message format, situations supported by ICMP, IP network diagnostics using ICMP). IPv6 protocol (address components, EUI-64 notation, IPv6 multicast, routing using IPv6, dynamic routing protocols for IPv6 (RIPng, OSPF3, EIGRP), IPv6 tunneling in IPv4 networks, TCP protocol (operating principles, connections and TCP associations, control flow and defragmentation of TCP stream, addressing and construction of TCP packets, processing of sequence numbers and confirmations in TCP, life cycle of TCP connection), UDP protocol (principles of operation, UDP addressing, UDP associations, construction of UDP packets), IPX (principles of operation, addressing used in IPX, cooperation in NetBEUI, Sequenced Packet Exchange Protocol / SPX), RTP protocol (principles of operation, construction of RTP packet, RTCP protocol, meaning of timestamps and sequence numbers, synchronization sources for data and their identification). Multicast transmission in IP networks ( addressing datagrams in multicast and special address values, Reverse path forwarding, IGMP for IPv4 and MLD for IPv6 and their versions, management of multicast groups, IGMP Querier and its operation, multicast and MAC multicast and IP address mapping, IGMP Snooping in Ethernet switches, multicast datagram and PIM protocol routing, multicast route retrieval - DVMRP, MOSPF, MBGP, PIM Spence Mode, PIM Sparse Mode and PIM Sparse-Dense Mode, significance of the Rendezvous Point and Mapping Agent unit, tunneling of multicast traffic over IP - an example of the mBone network).
IP routing basics: Internetwork Operating systems for routers - the basics of configuring examples of popular modular routers (Cisco, Juniper, Helwett Packard, Allied Telesis). Configure router IP interfaces, checklists (ACLs), serial link protocols (SLIP, PPP, HDLC), DHCP, network management using the SNMP protocol. Routing of datagrams in IP networks, IP routing and CIDR routing, routing tables, longest prefix match, rule of last resort, defining static routing rules, routing between VLAN, dynamic routing of internal type: RIP (RIPv2 and VLSM), IGRP, EIGRP, OSPF proposition (backbone area, ABR and ASBR routers, value calculation, LSA messages, Stub area, NSSArea, Totally stubby area, Virtual links), IS-IS protocol (Level 1 and Level 2 areas, metrics, building trees of the best paths), redistribution of route information between dynamic routing protocols, ODR protocol. Network Address Translation (address classification, overloading). Examples of mechanisms supporting IP datagram routing processes: the use of IP SLA (Service Level Agreement) techniques, Computer network and router simulators (GNS3, OPNET, Cisco Packet Tracer).
IPv6 routing and NAT techniques: IP NAT configurations in various variants: static translations and overloading. Configuring routers for IPv6 protocol. Dynamic routing protocols for IPv6 (OSPFv3, RIPng, EIGRP). IPv6 tunneling in IPv4 networks.
WAN and last mile technologies: Configuring Frame Relay networks. Configuring connections in ATM based fiber-based SONET / OC3 fiber networks. Configuring T-carrier / E-carrier connections. Configuring T-carrier / E-carrier connections with ATM encapsulation. Configuring SHDSL interfaces. Creating bridges over DSL (in the second ISO OSI layer). Configuring DLSAM VDSL switches (configuring ports, QoS services, ACLs in layers 2-4), configuring VDSL routers Creating ATM connections based on IMA (Inverse Multiplexing for ATM) interfaces
Physical media in computer networks: Classification of physical data transmission media in computer networks, medium selection and design of computer networks, coaxial cable media for Ethernet, Cable Modem, ATM, E-carrier / T-carrier (technical characteristics and technical limitations, plug systems), media based on a pair copper / TP for technologies: Ethernet, Token Ring, ATM, CDDI, T-carrier / E-carrier, ISDN, PTSN (characteristics, categories and types of TP cable equipment, plug and line systems for individual standards), Power Line Communication ( narrowband and broadband, types of standards, PLC protection), optic media for technologies: Ethernet, ATM, FDDI, Fiber Channel, Metro Ethernet (technical characteristics and fiber structure, multi-mode and single-mode fibers, undesirable effects during transmission, plug systems, standards fiber optic grinding, cabling assembly and devices connected to it, fiber optic cable aggregators, stand GBIC, SFP, SFP + ards, spectrum multiplexers, quality categories of optical fibers), diffused infrared media (IrDA, Li-Fi transmissions and LOS variant, IrDA transceiver characteristics, IrPHY standard, IrLAP and IrLMP protocols, Tiny TP services, IrCOMM, OBEX, IrLAN, IrSS), media based on infrared lasers (Laser Infrared Technology, technical characteristics and devices, examples of systems), microwave media (technical characteristics and devices), transmitting and receiving devices used in wireless media using radio waves (types of antennas transmitting - receivers, antenna cables, wideband and narrowband radio, transmitting power of radio devices and calculating Effective Isotropic Radiated Power, legal regulations regarding transmission power and transmission frequency in Poland), network infrastructure devices (cross-jumper systems, RACK assembly system, network cabling installation) in patchpanels: keystone and LSA, gutter ah, wall sockets, optical fiber in fiber optic distribution boxes: fiber optic splices and connecting spectrum multiplexers, other elements of active infrastructure in network installations.
Wireless networks: Data transmission techniques in the wireless medium, standards of popular wireless networks, Wi-Fi (IEEE 802.11 standards, communication modes: IBSS / Ad-Hoc and infrastructure / BSS-ESS, channel scanning techniques, configuration management Service Set, simple Wi-Fi authentication - Open system and Shared key, WEP and its properties, generation of RC4, WPA / WPA2 cipher, use of WPA-PSK, EAP protocol, WDS - types of bridges and techniques of their configuration, Wi-Fi repeaters)
Ethernet routing switches and enterprise CORE switches: Configuring routing switches. Configuring switches from CORE and CAMPUS segment. Using WAN modules in switches.
Wireless networks and access control: Configuring wireless networks (WiFi) using Cisco Aironet platform: a Cisco IOS system in these devices. WDS bridges. Management of WiFi - HotSpot router routers, configuration of DSL subscriber concentrators, configuration of wireless network security. Configuring Virtual Private Networks created with physical devices.
WAN technologies: POTS / PTSN, Frame Relay (PVC based on static DLCI and Frame Relay, PDU frame, Frame Relay Traffic Shaping, LMI protocol and SVC switching), ATM (media classification, cell processing in ATM switches, PVC / SVC, NSAP addressing and ESI, ILMI protocol, AAL layer, LANE and MPoA technologies), T-carrier / E-carrier (time slots, media classification, multiplexing), CABLE MODEM / CableTV, EFM - Ethernet in the First Mile (LRE - Long Reach Ethernet , EPON - Ethernet Passive Optical Network), asymmetric DSL (A / H / V / DSL), symmetrical DSL (SDSL), long-range satellite and wireless networks
Network traffic analysis in a computer networks: IP datagrams tracking using popular communication protocols. Traffic tracking techniques in computer networks, traffic monitoring devices.
Security and services in computer networks: Issues related to the use of cryptology in the transmission of data (cryptography and cryptanalysis, cryptosystems with symmetric and asymmetric key, selected ciphers, initialization of communication within the hybrid cryptosystem, RSA algorithm and cryptographic certification of data), Virtual Private Networks, selected protocols and distributed systems supporting the functioning of popular network services, models of services in network communication.
Exam: Test of knowledge and practical skills in the field of technologies used in computer networks",The module aims to familiarize you in intensive mode with all technologies related to computer networks - from hardware infrastructure to services.,English
