conceptQID,conceptName,itemDescription,fieldQID,fieldName
Q170217,Czechs,West Slavic ethnic group native to the Czech Republic,Q59068,Czech studies
Q131468,white hole,hypothetical region of spacetime that serves as the opposite of a black hole,Q333,astronomy
Q131476,graph theory,"study of graphs, which are mathematical structures used to model pairwise relations between objects",Q121416,discrete mathematics
Q131476,graph theory,"study of graphs, which are mathematical structures used to model pairwise relations between objects",Q21198,computer science
Q131508,enterprise resource planning,corporate task of optimizing the existing resources in a company,Q2043282,business administration
Q131539,children's literature,"stories, books, magazines, and poems that are primarily written for children",Q11163999,children's and youth literature
Q190375,historical linguistics,study of language change over time,Q113128713,"historical, comparative and typological linguistics"
Q190453,Poisson's ratio,parameter of elastic materials: ratio of transverse strain to axial strain,Q228736,materials science
Q190539,discourse,generalization of the notion of a conversation to any form of communication,Q160845,sociolinguistics
Q190549,functional analysis,"branch of mathematical analysis concerned with infinite-dimensional topological vector spaces, often spaces of functions",Q7754,mathematical analysis
Q190658,Central Laboratory,Place where certain laboratory analyzes are carried out centrally,Q327092,biomedical engineering
Q190658,Central Laboratory,Place where certain laboratory analyzes are carried out centrally,Q31207,health care
Q190656,multiculturalism,existence of multiple cultural traditions within a single country,Q160845,sociolinguistics
Q132814,evaporation,type of vaporization of a liquid that occurs from its surface; surface phenomenon,Q11473,thermodynamics
Q133136,history of India,history of the Indian subcontinent,Q625510,Indology
Q133255,Bulgarians,South Slavic ethnic group,Q4090659,Bulgarian studies
Q75613,Almoravid dynasty,Berber dynasty that once ruled over Al-Andalus and Maghreb,Q7781,history of Spain
Q75920,thermodynamic cycle,"linked sequence of thermodynamic processes that involve transfer of heat and work into and out of the system,while varying pressure, temperature, and other state variables within the system, and that eventually returns the system to its initial state",Q11473,thermodynamics
Q76418,earwax,waxy substance secreted by the ear,Q189553,otolaryngology
Q76592,combinatorics,branch of discrete mathematics,Q121416,discrete mathematics
Q77590,civil engineering,"engineering discipline specializing in design, construction and maintenance of the built environment",Q106372013,civil engineering studies
Q131276,International Standard Serial Number,unique eight-digit number used to identify a print or electronic periodical publication,Q199655,library science
Q131288,immigration,movement of people into another country or region to which they are not native,Q5381358,environmental social science
Q131288,immigration,movement of people into another country or region to which they are not native,Q23404,anthropology
Q131449,flora,set of plant species in any particular region and time,Q441,botany
Q191785,ideal gas law,equation of state of a hypothetical ideal gas,Q11473,thermodynamics
Q191851,vase,open container,Q31157641,vase science
Q191894,Zero-Cost-Collar,financial instrument in the area of risk management,Q189447,risk management
Q191960,Zerobalancing,a process in which the balances are automatically balanced with each other in the bank accounts of a company,Q4738155,financial management
Q192005,elastic modulus,physical property that measures the stiffness of an elastic material,Q228736,materials science
Q192089,magic square,"sums of each row, column, and main diagonals are equal",Q131476,graph theory
Q192161,formal language,set of strings of symbols that may be constrained by rules that are specific to it; words whose letters are taken from an alphabet and are well-formed according to a specific set of rules,Q3984091,formal language theory
Q82135,purchasing power parity,economic theory that states that the exchange rate between two countries is equal to the ratio of the currencies' respective purchasing power,Q8134,economics
Q82264,catalysis,process of increasing the rate of a chemical reaction,Q113141551,catalysis and mechanisms of reactions
Q82480,sedimentary rock,rock formed by the deposition of material,Q6538759,lithology
Q82580,friction,"force resisting the relative motion of solid surfaces, fluid layers, and material elements sliding against each other",Q193870,tribology
Q191042,surface-mount technology,method for producing electronic circuits,Q11650,electronics
Q191073,Curie temperature,temperature above which certain materials lose their permanent magnetic properties,Q11473,thermodynamics
Q191090,metathesis,the rearranging of sounds or syllables in a word or of words in a sentence in linguistics,Q35395,phonetics
Q191090,metathesis,the rearranging of sounds or syllables in a word or of words in a sentence in linguistics,Q8162,linguistics
Q191328,tonal language,language in which tones have lexical or grammatical meaning,Q8162,linguistics
Q191328,tonal language,language in which tones have lexical or grammatical meaning,Q40998,phonology
Q191450,Zepterlehen,German term: a form of fief in medieval Germany,Q680004,legal history
Q191498,kashrut,Jewish dietary laws,Q107427,Halakha
Q191529,wallpaper,material used to cover and decorate interior walls,Q207241,applied arts
Q191609,refrain,repeated lines in music or poetry,Q482,poetry
Q130998,equivalence relation,"reflexive, symmetric and transitive relation",Q395,mathematics
Q131089,geodesy,"science of the geometric shape, orientation in space, and gravitational field of Earth",Q8008,earth science
Q131130,anaesthesia,state of medically controlled temporary loss of sensation or awareness,Q615057,anaesthesiology
Q131164,Web 2.0,World Wide Web sites that use technology beyond the static pages of earlier Web sites,Q466,World Wide Web
Q79798,machine translation,use of software for language translation,Q30642,natural language processing
Q79890,Finno-Ugric,language family,Q133260960,Finno-Ugric linguistics
Q79890,Finno-Ugric,language family,Q897219,Finno-Ugric studies
Q79925,dark matter,mysterious non-luminous matter (and/or radiation) comprising most of the matter in our observable universe,Q338,cosmology
Q79925,dark matter,mysterious non-luminous matter (and/or radiation) comprising most of the matter in our observable universe,Q333,astronomy
Q79925,dark matter,mysterious non-luminous matter (and/or radiation) comprising most of the matter in our observable universe,Q37547,astrophysics
Q81745,classical physics,"theories of physics that predate modern, more complete, or more widely applicable theories",Q413,physics
Q81867,albinism,congenital disorder causing skin to lack pigmentation,Q105582462,biology of colour
Q81915,allotropy,property of some chemical elements to exist in two or more different forms,Q2329,chemistry
Q82042,part of speech,category of words based on shared grammatical properties in a clause,Q8162,linguistics
Q192627,mimicry,evolved resemblance between an organism and another object or organism,Q105582462,biology of colour
Q192658,dendrology,the study of trees and other woody plants,Q441,botany
Q192704,energy efficiency,ratio between the useful energy output and the input of a machine,Q11473,thermodynamics
Q192788,rigid body,idealization of a solid body in which deformation is neglected (distance between any two given points of a rigid body remains constant in time regardless of external forces exerted on it),Q833065,analytical mechanics
Q192803,double-entry bookkeeping,"seamless, chronological and factual ordered recording of all business processes in a company based of documented evidence",Q2043282,business administration
Q192951,Muqatta'at,disjoined letters beginning some verses in the Qur'an of unknown meaning,Q2370897,Quranic studies
Q192951,Muqatta'at,disjoined letters beginning some verses in the Qur'an of unknown meaning,Q843909,Islamic studies
Q192951,Muqatta'at,disjoined letters beginning some verses in the Qur'an of unknown meaning,Q3621186,Arabic studies
Q192989,acculturation,process of cultural and psychological change,Q160845,sociolinguistics
Q183191,European Convention on Human Rights,international treaty to protect human rights and fundamental freedoms in Europe,Q1147615,international human rights law
Q183252,morphology,study of external forms and structures of organisms,Q420,biology
Q183257,psychotherapy,clinically applied psychology for desired behavior change,Q9418,psychology
Q183368,invasive species,non-native organism causing damage to an established environment,Q105094378,invasion ecology
Q183368,invasive species,non-native organism causing damage to an established environment,Q42985020,invasion biology
Q184240,luminescence,emission of light by a substance not resulting from heat,Q105582462,biology of colour
Q184240,luminescence,emission of light by a substance not resulting from heat,Q413,physics
Q161500,privatization,transferring something from the public sphere to the private,Q8134,economics
Q161598,groundwater,water located beneath the ground surface,Q179509,hydrogeology
Q193006,Oligochaeta,subclass of annelids,Q126366484,oligochaetology
Q193091,optoelectronics,branch of electronics involving optics,Q113112790,"photonic and electro-optical devices, sensors and systems"
Q193104,Islamic philosophy,Academic study of philosophy derived from the tradition and teachings of Islam,Q5891,philosophy
Q193170,ratification,process of giving effect to documentation in international law,Q4394526,international law
Q193223,proper motion,astronomical measure of the observed changes in the apparent places of stars in the sky,Q181505,astrometry
Q184410,four color theorem,statement in mathematics,Q131476,graph theory
Q184616,Trichoptera,order of insects,Q9361552,trichopterology
Q184663,Chinese philosophy,philosophy in the Chinese cultural sphere,Q10879912,Jian jia xue pai
Q184686,Zehnthof,"German term, the place on which the overdue tithe had to be delivered in the Middle Ages",Q680004,legal history
Q184739,character device,"various drawing tools, are used for the artistic and technical drawing",Q735,art
Q184793,computer-aided design,constructing a product by means of computer,Q101333,mechanical engineering
Q184793,computer-aided design,constructing a product by means of computer,Q21198,computer science
Q184793,computer-aided design,constructing a product by means of computer,Q11023,engineering
Q181937,I Ching,Ancient Chinese text used for divination,Q3738441,I Ching studies
Q182062,Greek War of Independence,Greek rebellion against the Ottoman Empire (1821–1829),Q7794,history of Greece
Q182062,Greek War of Independence,Greek rebellion against the Ottoman Empire (1821–1829),Q2564225,history of the Ottoman Empire
Q182116,fetishism,human attribution of special powers or value to a regular object,Q23404,anthropology
Q182238,benthos,"community of organisms which live on, in, or near the bottom of bodies of water",Q3578569,benthic ecology
Q182333,molar gas constant,physical constant; the molar equivalent to the Boltzmann constant,Q11473,thermodynamics
Q81041,water cycle,"continuous movement of water on, above and below the surface of the Earth",Q42250,hydrology
Q81163,polymer,substance composed of macromolecules with repeating structural units,Q3456979,polymer science
Q81197,nuclear physics,field of physics that deals with the structure and behavior of atomic nuclei,Q413,physics
Q81392,fractal,mathematical set of non-integral dimension,Q395,mathematics
Q181328,Bernoulli's principle,principle relating to fluid dynamics,Q172145,fluid mechanics
Q181487,audit,"systematic and independent examination of books, accounts, documents and vouchers of an organization",Q189447,risk management
Q181508,extraterrestrial life,life that does not originate from Earth,Q411,astrobiology
Q181648,foreign policy,government's strategy in relating with other nations,Q610018,foreign relations
Q181648,foreign policy,government's strategy in relating with other nations,Q5468430,foreign policy analysis
Q181648,foreign policy,government's strategy in relating with other nations,Q7163,politics
Q181648,foreign policy,government's strategy in relating with other nations,Q166542,international relations
Q181658,parallelepiped,polyhedron formed by six parallelograms,Q131476,graph theory
Q170397,Integrated Services Digital Network,"set of communication standards for simultaneous digital transmission of voice, video, data, and other network services over the traditional circuits of the public switched telephone network, first defined in 1988",Q418,telecommunication
Q170412,melody,linear succession of musical tones in the foreground of a work of music,Q444345,melodics
Q170431,Avogadro's law,physical law about gas volume,Q11473,thermodynamics
Q170749,surface tension,tendency of a liquid surface to shrink to reduce surface area,Q228736,materials science
Q170749,surface tension,tendency of a liquid surface to shrink to reduce surface area,Q11473,thermodynamics
Q171187,peel,outer protective layer of a fruit or vegetable which can be peeled off,Q655362,plant morphology
Q171336,Slovaks,West Slavic ethnic group,Q4423818,Slovak studies
Q131569,treaty,express agreement between nations under international law,Q4394526,international law
Q131647,medallion,"round piece of metal, often used as an award",Q631286,numismatics
Q131683,embryology,branch of biology studying prenatal biology,Q11190,medicine
Q131683,embryology,branch of biology studying prenatal biology,Q420,biology
Q131711,kitsch,art or other objects that appeal to popular rather than high art tastes,Q35986,aesthetics
Q82604,design,creation of a plan or convention for the construction of an object or a system; process of creation; act of creativity and innovation,Q113129241,built environment and design studies
Q82604,design,creation of a plan or convention for the construction of an object or a system; process of creation; act of creativity and innovation,Q41607440,design studies
Q82604,design,creation of a plan or convention for the construction of an object or a system; process of creation; act of creativity and innovation,Q5264373,design research
Q82794,geographic region,"2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences",Q928786,area studies
Q82794,geographic region,"2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences",Q1595873,domestic studies
Q83169,hydrosphere,"combined mass of water found on, under, and above the surface of a planet, minor planet or natural satellite",Q52107,physical geography
Q189970,social status,position within social structure,Q160845,sociolinguistics
Q190065,inorganic compound,"compound that is not organic: i.e. does not contain carbon with exceptions e.g. CO, carbon dioxide, disulfide and diselenide, carbides, HCN, carbonic acid, cyanic, isocyanic and fulminic acids and carbonates, hydrogen carbonates, cyanides, cyanates",Q11165,inorganic chemistry
Q190149,photogrammetry,science of making measurements from photographs,Q131089,geodesy
Q190168,Yoruba people,"ethnic group of Nigeria, Benin and Togo",Q115675891,Yoruba studies
Q131800,sublimation,transition of a substance directly from the solid to the gas state,Q11473,thermodynamics
Q131857,HSAB theory,Chemical theory about acids and bases,Q27964550,acid–base chemistry
Q132580,recycling,process using materials into new products to prevent waste of potentially useful materials,Q180388,waste management
Q132629,electrical network,"interconnection of electrical components or a model of such an interconnection, consisting of electrical elements",Q2089905,circuit theory
Q170284,Finns,Baltic Finnic ethnic group indigenous to Finland,Q362748,Finnish studies
Q170321,wetland,land area that is permanently or seasonally saturated with water,Q104200566,wetland ecology
Q170355,indigenous Australians,First Nations people of Australia and its islands,Q113212205,"Aboriginal and Torres Strait Islander peoples, society and community"
Q83328,Turkic peoples,family of ethnic groups of Asia,Q8427,Turkology
Q83371,seismology,scientific study of earthquakes,Q52107,physical geography
Q83371,seismology,scientific study of earthquakes,Q46255,geophysics
Q83567,GiST,data structure,Q131476,graph theory
Q84230,secretion,controlled release of substances by cells or tissues,Q130111976,eccrinology
Q87167,manuscript,document written by hand,Q179957,palaeography
Q80839,lingua franca,language used to make communication possible between groups without a common native language,Q160845,sociolinguistics
Q80993,software engineering,application on systematic approaches to developing software,Q682496,systems engineering
Q80993,software engineering,application on systematic approaches to developing software,Q11661,information technology
Q81009,rhetoric,"art of persuasion, one of the three ancient arts of discourse",Q11680831,communication studies
Q81009,rhetoric,"art of persuasion, one of the three ancient arts of discourse",Q97008347,interaction science
Q77604,radiology,specialty that uses medical imaging to diagnose and treat diseases seen within the body,Q11190,medicine
Q79529,chemical substance,"matter of constant composition best characterized by the entities (molecules, formula units, atoms) it is composed of and characterized by physical properties like density",Q413,physics
Q79529,chemical substance,"matter of constant composition best characterized by the entities (molecules, formula units, atoms) it is composed of and characterized by physical properties like density",Q2329,chemistry
Q79797,Armenians,ethnic group native to the Armenian Highlands,Q513850,Armenian studies
Q80006,computer programming,the process of designing and building an executable computer program to accomplish a specific computing result or to perform a specific task,Q638608,software development
Q80006,computer programming,the process of designing and building an executable computer program to accomplish a specific computing result or to perform a specific task,Q21198,computer science
Q80071,symbol,"something that represents an idea, a process, or a physical entity",Q60195,semiotics
Q80292,Syriac Christianity,branch of Eastern Christianity,Q7663197,Syriac studies
Q80726,allele,one of alternative forms of the same gene,Q7162,genetics
Q135800,Pygostylia,"clade of avialans, including birds (Aves) and their extinct relatives",Q455928,paleornithology
Q136736,Geographic Names Information System,geographical database,Q54837,Semantic Web
Q136980,interference,phenomenon in which two coherent waves combine into a resultant wave with greater intensity or lower amplitude,Q413,physics
Q137220,malvidin,chemical compound,Q105582462,biology of colour
Q137649,isobaric process,thermodynamic process in which pressure remains constant,Q11473,thermodynamics
Q139931,heat death of the universe,possible end of the universe,Q11473,thermodynamics
Q134435,topography,study of the forms of land surfaces,Q52107,physical geography
Q134435,topography,study of the forms of land surfaces,Q115161680,topographic cartography
Q134995,bibliography,academic discipline that studies books,Q199655,library science
Q135028,Nubia,"region along the Nile river, which is located in northern Sudan and southern Egypt",Q145903,Egyptology
Q135333,Ornithothoraces,clade of dinosaurs,Q455928,paleornithology
Q135595,languages of India,indigenous languages of a geographic region,Q625510,Indology
Q182672,zoonosis,infectious disease that can be transmitted from one animal species to another (or human),Q112309116,ecological epidemiology
Q182688,Victorian era,period of British history encompassing Queen Victoria's reign (1837-1901),Q110857459,Victorian studies
Q183140,ozone depletion,stratospheric phenomena of Earth,Q7433745,Scientific Assessment of Ozone Depletion
Q167420,Croats,South-Slavic ethnic group,Q575929,Croatian studies
Q167420,Croats,South-Slavic ethnic group,Q114342310,croatology
Q167555,optical character recognition,computer recognition of visual text,Q30642,natural language processing
Q167810,Orthoptera,"order of insects (Insecta) including grasshoppers, crickets, weta and locusts",Q4337149,orthopterology
Q169342,retina,light-sensitive tissue layer inside the eye,Q105582462,biology of colour
Q131201,sustainable development,mode of human development that meets current demands without compromising the needs of future generations,Q23578769,urban studies
Q131222,information theory,mathematical theory from the field of probability theory and statistics,Q395,mathematics
Q131222,information theory,mathematical theory from the field of probability theory and statistics,Q21198,computer science
Q131222,information theory,mathematical theory from the field of probability theory and statistics,Q147638,cognitive science
Q131265,popular culture,set of norms or trends dominant in a society at a given time,Q7229751,popular culture studies
Q131269,sonata,"type of musical composition, usually for a solo instrument or a small instrumental ensemble",Q7560824,Sonata theory
Q185325,cardiopulmonary resuscitation,emergency procedure to maintain the blood flow to vital organs and to restore normal heart function after sudden cardiac arrest also restarting the heart,Q11190,medicine
Q185325,cardiopulmonary resuscitation,emergency procedure to maintain the blood flow to vital organs and to restore normal heart function after sudden cardiac arrest also restarting the heart,Q2861470,emergency medicine
Q185357,phase change,"transitions between solid, liquid and gaseous states of matter, and, in rare cases, plasma",Q11473,thermodynamics
Q185467,socialization,"lifelong process of inheriting and disseminating norms, customs and ideologies",Q160845,sociolinguistics
Q185478,countably infinite set,set with the same cardinality as the set of natural numbers,Q121416,discrete mathematics
Q185585,electronic squelch,circuit function that suppresses the output of a receiver when the input signal falls below a certain threshold,Q11650,electronics
Q185585,electronic squelch,circuit function that suppresses the output of a receiver when the input signal falls below a certain threshold,Q82811,acoustics
Q185674,field,"common physics term for a physical quantity, represented by a number or tensor, that has a value for each point in space-time",Q413,physics
Q83267,crime,single occurrence of unlawful act forbidden and punishable by criminal law,Q161733,criminology
Q83296,lithosphere,"rigid, outermost shell of a terrestrial-type planet or natural satellite that is defined by its rigid mechanical properties",Q1069,geology
Q83296,lithosphere,"rigid, outermost shell of a terrestrial-type planet or natural satellite that is defined by its rigid mechanical properties",Q52109,geomorphology
Q163310,Turing machine,abstract computation model; mathematical model of computation that defines an abstract machine which manipulates symbols on a strip of tape according to a table of rules,Q844718,theory of computation
Q163310,Turing machine,abstract computation model; mathematical model of computation that defines an abstract machine which manipulates symbols on a strip of tape according to a table of rules,Q2878974,theoretical computer science
Q163740,nonprofit organization,organization operated for a collective benefit,Q975065,nonprofit management
Q165058,Holodomor,man-made famine in Soviet Ukraine in 1932–33 that killed as many as seven million Ukrainians,Q109505011,Holodomor studies
Q165632,dust,small particles in the air,Q287983,koniology
Q165838,limnology,science of inland waters ecosystems,Q20417087,freshwater ecology
Q165838,limnology,science of inland waters ecosystems,Q2329,chemistry
Q165838,limnology,science of inland waters ecosystems,Q413,physics
Q166130,Deuteronomist History,"hypothesized source underlying much of the Tanakh, corresponding to Deuteronomy, Joshua, Judges, Samuel and Kings",Q794605,biblical studies
Q166542,international relations,study of relationships between two or more states,Q55659900,political science and international relations
Q166542,international relations,study of relationships between two or more states,Q5654877,international studies
Q166542,international relations,study of relationships between two or more states,Q1889,diplomacy
Q166583,condensation,change of the physical state of matter from gas phase into liquid phase; reverse of evaporation,Q11473,thermodynamics
Q91122,bunker,defensive military building,Q3491429,military terminology
Q93661,integrated library system,software that organizes and provides access to a library collection,Q199655,library science
Q94556,tetrachromacy,type of color vision,Q105582462,biology of colour
Q101017,distillation,method of separating mixtures based on differences in volatility of components in a boiling liquid mixture,Q11473,thermodynamics
Q101401,bell,percussion musical instrument,Q168058,campanology
Q185925,graphic design,visual design of content in various media,Q82604,design
Q185941,Zeitfalle (Innovation Management),German term: unfavorable situation in which a technology or a product can come in competition,Q794803,innovation management
Q185941,Zeitfalle (Innovation Management),German term: unfavorable situation in which a technology or a product can come in competition,Q2043282,business administration
