course_name,concept,wikidata_qid,wikidata_label,wikidata_description,wikidata_url
Mathematical analysis 1,rolle's theorem,Q193286,Rolle's theorem,on stationary points between two equal values of a real differentiable function,https://www.wikidata.org/wiki/Q193286
Mathematical analysis 1,l'hôpital's rule,Q190557,L'Hôpital's rule,rule that uses derivatives to help evaluate limits involving indeterminate forms,https://www.wikidata.org/wiki/Q190557
Mathematical analysis 1,extremum,Q845060,maxima and minima,largest and smallest value taken by a function in a given range,https://www.wikidata.org/wiki/Q845060
Mathematical analysis 1,taylor's theorem,Q1137206,Taylor's theorem,approximation of a function by a truncated power series,https://www.wikidata.org/wiki/Q1137206
Mathematical analysis 1,concavity,Q52927916,concavity,geometric property,https://www.wikidata.org/wiki/Q52927916
Mathematical analysis 1,convexity,Q5533980,geodesic convexity,natural generalization of convexity for sets and functions to Riemannian manifolds,https://www.wikidata.org/wiki/Q5533980
Mathematical analysis 1,point of inflection,Q212794,inflection point,"point on a continuously differentiable plane curve at which the curve crosses its tangent, that is, the curve changes from being concave to convex, or vice versa",https://www.wikidata.org/wiki/Q212794
Mathematical analysis 1,asymptote,Q179436,asymptote,"regarding a curve, a line such that the distance between the curve and the line approaches 0 as x→∞ or y→∞",https://www.wikidata.org/wiki/Q179436
Mathematical analysis 1,integral,Q80091,integral,operation in calculus,https://www.wikidata.org/wiki/Q80091
Mathematical analysis 1,integration by parts,Q18615173,Integration by Parts,1201st strip of the webcomic xkcd,https://www.wikidata.org/wiki/Q18615173
Mathematical analysis 1,rational function,Q41237,rational function,ratio of polynomial functions,https://www.wikidata.org/wiki/Q41237
Mathematical analysis 1,riemann integral,Q697181,Riemann integral,basic type of integral in elementary calculus,https://www.wikidata.org/wiki/Q697181
Mathematical analysis 1,monotonic function,Q194404,monotonic function,function between ordered sets that preserves or reverses the given order,https://www.wikidata.org/wiki/Q194404
Mathematical analysis 1,series (mathematics),Q464100,harmonic series,infinite series of the reciprocals of the positive integers,https://www.wikidata.org/wiki/Q464100
Mathematical analysis 1,convergence test,Q479834,Abel's test,convergence test,https://www.wikidata.org/wiki/Q479834
Mathematical analysis 1,cauchy product,Q1051404,Cauchy product,concept in mathematics,https://www.wikidata.org/wiki/Q1051404
Mathematical analysis 1,functional sequence,,,,
Mathematical analysis 1,uniform convergence,Q1411887,uniform convergence,mode of convergence of a function sequence,https://www.wikidata.org/wiki/Q1411887
Mathematical analysis 1,power series,Q206925,power series,infinite sum of monomials,https://www.wikidata.org/wiki/Q206925
Mathematical analysis 1,analytic function,Q215084,analytic function,function that is locally given by a convergent power series,https://www.wikidata.org/wiki/Q215084
Mathematical analysis 1,orthogonal series,Q7104524,Orthogonal,novel series by Greg Egan,https://www.wikidata.org/wiki/Q7104524
Mathematical analysis 1,fourier series,Q179467,Fourier series,decomposition of periodic functions into sums of simpler sinusoidal forms,https://www.wikidata.org/wiki/Q179467
Mathematical analysis 1,bessel's inequality,Q794042,Bessel's inequality,theorem,https://www.wikidata.org/wiki/Q794042
Mathematical analysis 1,parseval's identity,Q944238,Parseval's identity,mathematical concept,https://www.wikidata.org/wiki/Q944238
Mathematical analysis 1,fourier trigonometric series,,,,
Mathematical analysis 1,differentiability,Q2138760,differentiability class,classification of functions according to the properties of their derivatives,https://www.wikidata.org/wiki/Q2138760
Mathematical analysis 1,frechet derivative,Q1305350,Fréchet derivative,a derivative defined on normed spaces,https://www.wikidata.org/wiki/Q1305350
Mathematical analysis 1,gradient,Q173582,gradient,multi-variable generalization of the derivative,https://www.wikidata.org/wiki/Q173582
Mathematical analysis 1,partial derivative,Q186475,partial derivative,"derivative of a function of several variables with respect to one variable, with the others held constant",https://www.wikidata.org/wiki/Q186475
Mathematical analysis 1,jacobi matrix,Q506041,Jacobian matrix,the matrix of all first-order partial derivatives of a vector-valued function,https://www.wikidata.org/wiki/Q506041
Mathematical analysis 1,implicit function theorem,Q848375,implicit function theorem,"theorem that, under a mild condition on the partial derivatives, the set of zeros of a system of equations is locally the graph of a function",https://www.wikidata.org/wiki/Q848375
Mathematical analysis 1,schwarz's theorem,Q3984032,Pohlke's theorem,theorem in descriptive geometry,https://www.wikidata.org/wiki/Q3984032
Mathematical analysis 1,lagrange multiplier,Q598870,Lagrange multiplier,a method to solve constrained optimization problems,https://www.wikidata.org/wiki/Q598870
Mathematical analysis 1,double integral,Q21279440,double integral symbol,mathematical symbol,https://www.wikidata.org/wiki/Q21279440
Mathematical analysis 1,triple integral,,,,
Mathematical analysis 1,jordan measure,Q1703597,Jordan measure,"an extension of the notion of size (length, area, volume) to shapes more complicated than, for example, a triangle, disk, or parallelepiped",https://www.wikidata.org/wiki/Q1703597
Mathematical analysis 1,iterated integral,Q6094400,iterated integral,type of integral of functions of multiple variables,https://www.wikidata.org/wiki/Q6094400
Mathematical analysis 1,polar coordinate system,Q62494,polar coordinate system,two-dimensional coordinate system where each point is determined by a distance from reference point and an angle from a reference direction,https://www.wikidata.org/wiki/Q62494
Mathematical analysis 1,spherical coordinate system,Q203218,spherical coordinate system,coordinate system based around angle and distance from the origin,https://www.wikidata.org/wiki/Q203218
Mathematical analysis 1,cylindrical coordinate system,Q211851,cylindrical coordinate system,three-dimensional orthogonal coordinate system,https://www.wikidata.org/wiki/Q211851
Mathematical analysis 1,line integral,Q467699,line integral,definite integral of a scalar or vector field along a path,https://www.wikidata.org/wiki/Q467699
Mathematical analysis 1,green's theorem,Q321237,Green's theorem,theorem,https://www.wikidata.org/wiki/Q321237
Mathematical analysis 1,surface integral,Q598146,surface integral,generalization of a multiple integral to (possibly)-curved surfaces,https://www.wikidata.org/wiki/Q598146
Mathematical analysis 1,gauss-ostrogradski theorem,Q338886,divergence theorem,generalization of the fundamental theorem in vector calculus,https://www.wikidata.org/wiki/Q338886
Mathematical analysis 1,stokes' theorem,Q467756,Stokes' theorem,theorem in vector calculus,https://www.wikidata.org/wiki/Q467756
Introduction to Computer Science,computer science,Q21198,computer science,study of computation,https://www.wikidata.org/wiki/Q21198
Introduction to Computer Science,algorithm,Q8366,algorithm,sequence of instructions to perform a task,https://www.wikidata.org/wiki/Q8366
Introduction to Computer Science,computational complexity,Q5157286,computational complexity,measure of the amount of resources needed to run an algorithm or solve a computational problem,https://www.wikidata.org/wiki/Q5157286
Introduction to Computer Science,formal language,Q192161,formal language,set of strings of symbols that may be constrained by rules that are specific to it; words whose letters are taken from an alphabet and are well-formed according to a specific set of rules,https://www.wikidata.org/wiki/Q192161
Introduction to Computer Science,formal grammar,Q373045,formal grammar,structure of a formal language,https://www.wikidata.org/wiki/Q373045
Introduction to Computer Science,chomsky hierarchy,Q190913,Chomsky hierarchy,containment hierarchy of classes of formal grammars,https://www.wikidata.org/wiki/Q190913
Introduction to Computer Science,grammatical parsing,Q126084811,BLLIP Parser,BLLIP Parser (or Charniak-Johnson parser) is a statistical natural language parser for analyzing text to determine its grammatical structure,https://www.wikidata.org/wiki/Q126084811
Introduction to Computer Science,compiler,Q47506,compiler,computer program that transforms source code into object code,https://www.wikidata.org/wiki/Q47506
Introduction to Computer Science,programming paradigm,Q188267,programming paradigm,category of programming languages according to what methodology of designing and implementing programs their features support,https://www.wikidata.org/wiki/Q188267
Introduction to Computer Science,information theory,Q131222,information theory,mathematical theory from the field of probability theory and statistics,https://www.wikidata.org/wiki/Q131222
Introduction to Computer Science,entropy,Q204570,information entropy,expected value of the amount of information delivered by a message,https://www.wikidata.org/wiki/Q204570
Introduction to Computer Science,data compression,Q2493,data compression,process of encoding information using fewer bits than the original representation,https://www.wikidata.org/wiki/Q2493
Introduction to Computer Science,shannon coding,Q11740845,Shannon coding,Shannon coding,https://www.wikidata.org/wiki/Q11740845
Introduction to Computer Science,fano coding,Q2645,Shannon–Fano coding,technique for constructing a prefix code,https://www.wikidata.org/wiki/Q2645
Introduction to Computer Science,huffman coding,Q2647,Huffman coding,entropy encoding algorithm used for lossless data compression,https://www.wikidata.org/wiki/Q2647
Introduction to Computer Science,channel capacity,Q106505959,channel capacity per character,maximum of the character mean transinformation content,https://www.wikidata.org/wiki/Q106505959
Introduction to Computer Science,kolmogorov complexity,Q1456811,Kolmogorov complexity,measure of algorithmic complexity,https://www.wikidata.org/wiki/Q1456811
Introduction to Computer Science,computer network,Q1301371,computer network,network that allows computers to share resources and communicate with each other,https://www.wikidata.org/wiki/Q1301371
Introduction to Computer Science,network topology,Q145490,network topology,arrangement of the various elements of a computer network; topological structure of a network and may be depicted physically or logically,https://www.wikidata.org/wiki/Q145490
Introduction to Computer Science,ethernet,Q79984,Ethernet,"family of wired computer networking technologies commonly used in local area networks (LAN), metropolitan area networks (MAN) and wide area networks (WAN)",https://www.wikidata.org/wiki/Q79984
Introduction to Computer Science,wifi,Q29643,Wi-Fi,"family of wireless network protocols, based on IEEE's 802.11 standards",https://www.wikidata.org/wiki/Q29643
Introduction to Computer Science,bluetooth,Q39531,Bluetooth,short-distance wireless communication protocol,https://www.wikidata.org/wiki/Q39531
Introduction to Computer Science,osi model,Q93312,OSI model,model with 7 layers to describe communication systems,https://www.wikidata.org/wiki/Q93312
Introduction to Computer Science,network protocol,Q15836568,computer network protocol,communications protocol used by data networks,https://www.wikidata.org/wiki/Q15836568
Introduction to Computer Science,application programming,Q165194,application programming interface,software interface between computers and/or programs,https://www.wikidata.org/wiki/Q165194
Introduction to Computer Science,modeling,Q1116876,scientific modeling,scientific activity,https://www.wikidata.org/wiki/Q1116876
Introduction to Computer Science,simulation,Q1610017,simulation video game,video game genre,https://www.wikidata.org/wiki/Q1610017
Introduction to Computer Science,embedded system,Q193040,embedded system,computer system with a dedicated function within a larger mechanical or electrical system.,https://www.wikidata.org/wiki/Q193040
Introduction to Computer Science,ubiquitous computing,Q541265,ubiquitous computing,concept in software engineering and computer science,https://www.wikidata.org/wiki/Q541265
Introduction to Computer Science,multimedia system,Q380671,XMMS,Winamp-like musicplayer for *nix,https://www.wikidata.org/wiki/Q380671
Introduction to Computer Science,regular language,Q752532,regular language,formal language that can be expressed using a regular expression,https://www.wikidata.org/wiki/Q752532
Introduction to Computer Science,context-free language,Q729271,context-free language,formal language that is a member of the set of languages defined by context-free grammars,https://www.wikidata.org/wiki/Q729271
Logic for IT specialists,logic,Q8078,logic,study of correct reasoning,https://www.wikidata.org/wiki/Q8078
Logic for IT specialists,formal language,Q192161,formal language,set of strings of symbols that may be constrained by rules that are specific to it; words whose letters are taken from an alphabet and are well-formed according to a specific set of rules,https://www.wikidata.org/wiki/Q192161
Logic for IT specialists,syntax,Q37437,syntax,linguistic field that studies the inner structure of sentences,https://www.wikidata.org/wiki/Q37437
Logic for IT specialists,semantics,Q39645,semantics,"study of meaning of linguistic forms (words, phrases, etc.)",https://www.wikidata.org/wiki/Q39645
Logic for IT specialists,interpretation,Q210439,interpretation,facilitating of oral or sign-language communication between users of different languages,https://www.wikidata.org/wiki/Q210439
Logic for IT specialists,model (logic),Q17067742,logic model,method of depicting causal relationships,https://www.wikidata.org/wiki/Q17067742
Logic for IT specialists,deduction,Q484284,deductive reasoning,method of reasoning by which premises understood to be true produce logically certain conclusions,https://www.wikidata.org/wiki/Q484284
Logic for IT specialists,logical consequence,Q374182,logical consequence,fundamental concept in logic,https://www.wikidata.org/wiki/Q374182
Logic for IT specialists,hypothesis,Q41719,hypothesis,"proposed explanation for an observation, phenomenon, or scientific problem",https://www.wikidata.org/wiki/Q41719
Logic for IT specialists,theorem,Q65943,theorem,"in mathematics, a statement that has been proved",https://www.wikidata.org/wiki/Q65943
Logic for IT specialists,tautology,Q209555,tautology,logical formula which is true in every possible interpretation,https://www.wikidata.org/wiki/Q209555
Logic for IT specialists,inference,Q408386,inference,act or process of deriving logical conclusions from premises known or assumed to be true,https://www.wikidata.org/wiki/Q408386
Logic for IT specialists,abduction,Q143716,Abduction,2011 film directed by John Singleton,https://www.wikidata.org/wiki/Q143716
Logic for IT specialists,induction,Q178377,mathematical induction,form of mathematical proof,https://www.wikidata.org/wiki/Q178377
Logic for IT specialists,propositional calculus,Q200694,propositional calculus,"branch of logic concerned with the study of propositions (whether they are true or false) that are formed by other propositions with the use of logical connectives, and how their value depends on the truth value of their components",https://www.wikidata.org/wiki/Q200694
Logic for IT specialists,conjunctive normal form,Q846564,conjunctive normal form,concept in Boolean logic,https://www.wikidata.org/wiki/Q846564
Logic for IT specialists,disjunctive normal form,Q903789,disjunctive normal form,concept in Boolean logic,https://www.wikidata.org/wiki/Q903789
Logic for IT specialists,negation normal form,Q1640479,negation normal form,term,https://www.wikidata.org/wiki/Q1640479
Logic for IT specialists,implicant,Q1291626,Implicant,"""covering"" of one or more minterms in a sum of products of a boolean function in Boolean logic",https://www.wikidata.org/wiki/Q1291626
Logic for IT specialists,rule of inference,Q1068763,rule of inference,systematic logical process capable of deriving a conclusion from hypotheses,https://www.wikidata.org/wiki/Q1068763
Logic for IT specialists,decision tree,Q831366,decision tree,decision support tool,https://www.wikidata.org/wiki/Q831366
Logic for IT specialists,ordered binary decision diagram,Q864155,binary decision diagram,data structure,https://www.wikidata.org/wiki/Q864155
Logic for IT specialists,satisfiability,Q875276,boolean satisfiability problem,problem of determining if a Boolean formula could be made true,https://www.wikidata.org/wiki/Q875276
Logic for IT specialists,sat problem,Q875276,boolean satisfiability problem,problem of determining if a Boolean formula could be made true,https://www.wikidata.org/wiki/Q875276
Logic for IT specialists,predicate calculus,Q4055684,first-order logic,"collection of formal systems used in mathematics, philosophy, linguistics, and computer science",https://www.wikidata.org/wiki/Q4055684
Logic for IT specialists,attribute logic,Q123751977,attribute blocks,"blocks of varying size, thickness, color, and shape used to teach logic",https://www.wikidata.org/wiki/Q123751977
Logic for IT specialists,decision table,Q747762,decision table,concise visual representation for specifying which actions to perform depending on given conditions,https://www.wikidata.org/wiki/Q747762
Logic for IT specialists,rule-based system,Q1417149,rule-based system,curated rule set to store and manipulate knowledge and interpret information,https://www.wikidata.org/wiki/Q1417149
Logic for IT specialists,automatic theorem proving,Q7912960,Vampire theorem prover,automatic theorem prover,https://www.wikidata.org/wiki/Q7912960
Logic for IT specialists,resolution (logic),Q1051925,resolution,"in logic, rule of inference",https://www.wikidata.org/wiki/Q1051925
Logic for IT specialists,substitution (logic),Q1522579,substitution,concept in logic; syntactic transformation on formal expressions,https://www.wikidata.org/wiki/Q1522579
Logic for IT specialists,unification (computer science),Q609057,unification,algorithmic process of solving equations between symbolic expressions,https://www.wikidata.org/wiki/Q609057
Logic for IT specialists,skolemization,Q64224457,skolemization,method for obtaining Skolem normal form,https://www.wikidata.org/wiki/Q64224457
Logic for IT specialists,logical programming,Q120971454,inductive logical programming,area of research,https://www.wikidata.org/wiki/Q120971454
Logic for IT specialists,prolog,Q163468,Prolog,programming language that uses first order logic,https://www.wikidata.org/wiki/Q163468
Logic for IT specialists,multi-valued logic,Q185502,many-valued logic,propositional calculus in which there are more than two truth values,https://www.wikidata.org/wiki/Q185502
Logic for IT specialists,fuzzy logic,Q224821,fuzzy logic,system for reasoning about vagueness,https://www.wikidata.org/wiki/Q224821
Logic for IT specialists,modal logic,Q210841,modal logic,"formal logic able to express concepts such as necessity, possibility, provability, obligation, knowledge etc.",https://www.wikidata.org/wiki/Q210841
Logic for IT specialists,temporal logic,Q781833,temporal logic,system for representing and reasoning about time,https://www.wikidata.org/wiki/Q781833
Logic for IT specialists,quantifier,Q592911,quantifier,logical operator specifying how many entities in the domain of discourse that satisfy an open formula,https://www.wikidata.org/wiki/Q592911
Logic for IT specialists,predicate,Q179080,predicate,sentence constituent,https://www.wikidata.org/wiki/Q179080
Logic for IT specialists,function (mathematics),Q11348,function,association of a single output to each input,https://www.wikidata.org/wiki/Q11348
Logic for IT specialists,first-order logic,Q4055684,first-order logic,"collection of formal systems used in mathematics, philosophy, linguistics, and computer science",https://www.wikidata.org/wiki/Q4055684
Programming Basics 1,c,Q15777,C,general-purpose programming language,https://www.wikidata.org/wiki/Q15777
Programming Basics 1,syntax,Q37437,syntax,linguistic field that studies the inner structure of sentences,https://www.wikidata.org/wiki/Q37437
Programming Basics 1,variable (programming),Q25203375,control variable,regulates the flow of control of a program,https://www.wikidata.org/wiki/Q25203375
Programming Basics 1,variable scope,Q1143344,global variable,"variable in a computer program that is visible throughout the program, unless shadowed",https://www.wikidata.org/wiki/Q1143344
Programming Basics 1,pointer (computer programming),Q118155,pointer,type which stores memory addresses in a computer program,https://www.wikidata.org/wiki/Q118155
Programming Basics 1,operator (programming),Q1206110,program operator,"construct used in computer programming, often associated to a mathematical operation",https://www.wikidata.org/wiki/Q1206110
Programming Basics 1,control flow,Q868299,control flow,"order in which individual statements, instructions or function calls of an imperative program are executed or evaluated",https://www.wikidata.org/wiki/Q868299
Programming Basics 1,function (programming),Q5426980,FP84,programming language to support the function-level paradigm,https://www.wikidata.org/wiki/Q5426980
Programming Basics 1,recursion,Q179976,recursion,process of repeating items in a self-similar way,https://www.wikidata.org/wiki/Q179976
Programming Basics 1,array data structure,Q186152,array data structure,data structure holding elements in a contiguous memory block,https://www.wikidata.org/wiki/Q186152
Programming Basics 1,string (computer science),Q184754,string,data type representing a finite sequence of encoded characters,https://www.wikidata.org/wiki/Q184754
Programming Basics 1,structure (computer science),Q175263,data structure,particular way of storing and organizing data in a computer,https://www.wikidata.org/wiki/Q175263
Programming Basics 1,dynamic memory allocation,Q1061927,dynamic memory allocation,the allocation of memory storage for use in a computer program during runtime,https://www.wikidata.org/wiki/Q1061927
Programming Basics 1,list,Q12139612,list,set of discrete items of information,https://www.wikidata.org/wiki/Q12139612
Programming Basics 1,tree data structure,Q223655,tree,abstract data type,https://www.wikidata.org/wiki/Q223655
Programming Basics 1,library (computing),Q188860,software library,"collection of non-volatile resources used by computer programs, often for software development",https://www.wikidata.org/wiki/Q188860
Introduction to Unix Systems,shell,Q154950,Shell,British multinational oil and gas company,https://www.wikidata.org/wiki/Q154950
Introduction to Unix Systems,bash,Q189248,GNU Bash,GNU Project implementation of the standard Unix shell,https://www.wikidata.org/wiki/Q189248
Introduction to Unix Systems,regular expression,Q185612,regular expression,sequence of characters that forms a search pattern,https://www.wikidata.org/wiki/Q185612
Introduction to Unix Systems,data processing,Q6661985,data processing,"any process that uses a computer program to enter data and summarise, analyse or otherwise convert data into usable information",https://www.wikidata.org/wiki/Q6661985
Introduction to Unix Systems,networking,Q3220391,social networking service,online platform that facilitates the building of social relations,https://www.wikidata.org/wiki/Q3220391
Introduction to Unix Systems,vi,Q214743,vi,keyboard-oriented text editor,https://www.wikidata.org/wiki/Q214743
Introduction to Unix Systems,emacs,Q1252773,GNU Emacs,GNU version of the Emacs text editor,https://www.wikidata.org/wiki/Q1252773
Introduction to Unix Systems,make,Q300867,make,standard UNIX utility and programming language for build automation,https://www.wikidata.org/wiki/Q300867
Introduction to Unix Systems,programming,Q80006,computer programming,the process of designing and building an executable computer program to accomplish a specific computing result or to perform a specific task,https://www.wikidata.org/wiki/Q80006
Introduction to Unix Systems,process (computing),Q205663,process,particular execution of a computer program,https://www.wikidata.org/wiki/Q205663
Introduction to Unix Systems,thread (computing),Q213092,thread,smallest sequence of programmed instructions that can be managed independently by a scheduler,https://www.wikidata.org/wiki/Q213092
Introduction to Unix Systems,debugging,Q845566,debugging,process of finding and resolving defects or problems within a computer program,https://www.wikidata.org/wiki/Q845566
Introduction to Unix Systems,version control,Q189439,version control,activity of managing the versions of one or more files,https://www.wikidata.org/wiki/Q189439
Introduction to Unix Systems,file system,Q174989,file system,concrete format or program for storing files and directories on a data storage device,https://www.wikidata.org/wiki/Q174989
Introduction to Unix Systems,process management,Q14167904,process management,ensemble of activities of planning and monitoring the performance of a process,https://www.wikidata.org/wiki/Q14167904
Introduction to Unix Systems,inter-process communication,Q751436,inter-process communication,mechanisms an operating system provides to allow the processes to manage shared data,https://www.wikidata.org/wiki/Q751436
Introduction to Unix Systems,interactive data processing,,,,
Computer architectures,combinational circuit,Q76505,combinational logic,type of digital logic which is implemented by boolean circuits,https://www.wikidata.org/wiki/Q76505
Computer architectures,logic gate,Q170451,logic gate,"computational equipment, physical or theoretical, that performs a boolean logic function",https://www.wikidata.org/wiki/Q170451
Computer architectures,arithmetic circuit,Q121565213,Arithmetic circuit,US patent 11327716,https://www.wikidata.org/wiki/Q121565213
Computer architectures,encoder,Q5392830,encoder,"encoder in digital electronics, a one-hot to binary converter",https://www.wikidata.org/wiki/Q5392830
Computer architectures,decoder,Q745243,decoder,device which reverses the operation of an encoder,https://www.wikidata.org/wiki/Q745243
Computer architectures,multiplexer,Q189434,multiplexer,electronic circuit that selects one of its several input signals and forwards it into a single output line,https://www.wikidata.org/wiki/Q189434
Computer architectures,demultiplexer,Q5256428,demultiplexer,type of software,https://www.wikidata.org/wiki/Q5256428
Computer architectures,rom,Q160710,read-only memory,non-volatile memory used in computers and other electronic devices; class of storage medium used in computers and other electronic devices,https://www.wikidata.org/wiki/Q160710
Computer architectures,sequential circuit,,,,
Computer architectures,flip-flop,Q183406,flip-flop,circuit that has two stable states and can be used to store state information,https://www.wikidata.org/wiki/Q183406
Computer architectures,register,Q286576,register,form of language used for a particular purpose or in a particular communicative situation,https://www.wikidata.org/wiki/Q286576
Computer architectures,counter,Q247299,counter,device which stores the number of times a particular event or process has occurred,https://www.wikidata.org/wiki/Q247299
Computer architectures,ram,Q5295,random-access memory,form of computer data storage,https://www.wikidata.org/wiki/Q5295
Computer architectures,vhdl,Q209455,VHDL,Hardware Description Language,https://www.wikidata.org/wiki/Q209455
Computer architectures,fpga,Q190411,field-programmable gate array,integrated circuit designed to be configured by a customer or a designer after manufacturing,https://www.wikidata.org/wiki/Q190411
Computer architectures,electronic schematic,Q29000872,schematic diagram,"style of circuit diagrams, shows the components and interconnections of the circuit using standardized symbolic representations",https://www.wikidata.org/wiki/Q29000872
Computer architectures,alu,Q447277,Alu,mountain,https://www.wikidata.org/wiki/Q447277
Computer architectures,computer architecture,Q173212,computer architecture,"set of rules and methods that describe the functionality, organization and implementation of computer systems",https://www.wikidata.org/wiki/Q173212
Computer architectures,microprogrammed control,,,,
Computer architectures,parallel processing,Q7134969,Parallel Processing,Parallel processing in digital signal processing,https://www.wikidata.org/wiki/Q7134969
IT tools,latex,Q5310,LaTeX,document markup language,https://www.wikidata.org/wiki/Q5310
IT tools,document class,Q107478770,document genre,type or class of documents,https://www.wikidata.org/wiki/Q107478770
IT tools,bibliography,Q134995,bibliography,academic discipline that studies books,https://www.wikidata.org/wiki/Q134995
IT tools,version control system,Q3257930,version control system,system to store and manage changes in the source code for a given software or in other media,https://www.wikidata.org/wiki/Q3257930
IT tools,git,Q186055,Git,distributed version control system,https://www.wikidata.org/wiki/Q186055
IT tools,subversion,Q46794,Apache Subversion,advanced version control system,https://www.wikidata.org/wiki/Q46794
IT tools,knowledge base,Q593744,knowledge base,information repository with multiple applications,https://www.wikidata.org/wiki/Q593744
IT tools,wiki,Q171,wiki,type of website that visitors can edit,https://www.wikidata.org/wiki/Q171
IT tools,kanban,Q18979,kanban,scheduling system / stock replenishment for lean manufacturing and just-in-time manufacturing (JIT),https://www.wikidata.org/wiki/Q18979
IT tools,scrum,Q460387,scrum,Agile software development framework,https://www.wikidata.org/wiki/Q460387
Physics 1,physics,Q413,physics,"study of matter and its motion, along with related concepts such as energy and force",https://www.wikidata.org/wiki/Q413
Physics 1,differential calculus,Q149999,differential calculus,subfield of calculus,https://www.wikidata.org/wiki/Q149999
Physics 1,integral calculus,Q150008,integral calculus,subfield of calculus,https://www.wikidata.org/wiki/Q150008
Physics 1,vector calculus,Q200802,vector calculus,calculus of vector-valued functions,https://www.wikidata.org/wiki/Q200802
Physics 1,si unit,Q61610698,SI unit,unit in the International System of Units,https://www.wikidata.org/wiki/Q61610698
Physics 1,scalar (physics),Q181175,scalar quantity,quantity represented by a scalar: quantity having no direction,https://www.wikidata.org/wiki/Q181175
Physics 1,vector (physics),Q13471665,vector,element of a vector space,https://www.wikidata.org/wiki/Q13471665
Physics 1,kinematics,Q11476,kinematics,branch of physics describing the motion of objects or groups of objects without considering its cause,https://www.wikidata.org/wiki/Q11476
Physics 1,curvilinear motion,Q6025295,curvilinear motion,motion of an object in a curved path,https://www.wikidata.org/wiki/Q6025295
Physics 1,position vector,Q192388,position vector,vector representing the position of a point with respect to a given origin and axes,https://www.wikidata.org/wiki/Q192388
Physics 1,displacement (vector),Q190291,displacement,vector that is the shortest distance from the initial to the final position of a point P,https://www.wikidata.org/wiki/Q190291
Physics 1,velocity,Q11465,velocity,"rate of change of the position of an object as a function of time, and the direction of that change",https://www.wikidata.org/wiki/Q11465
Physics 1,acceleration,Q11376,acceleration,rate at which the magnitude and/or direction of velocity changes with time,https://www.wikidata.org/wiki/Q11376
Physics 1,circular motion,Q715746,circular motion,object movement along a circular path,https://www.wikidata.org/wiki/Q715746
Physics 1,free fall,Q2597841,Free Fall,amusement ride at Attractiepark Slagharen,https://www.wikidata.org/wiki/Q2597841
Physics 1,dynamics,Q128030,dynamics,branch of mechanics studying forces and their effect on motion,https://www.wikidata.org/wiki/Q128030
Physics 1,newton's laws of motion,Q38433,Newton's laws of motion,classical formulation of Mechanics by Isaac Newton,https://www.wikidata.org/wiki/Q38433
