conceptQID,fieldQID
Q473003,Q8134
Q488541,Q8134
Q489757,Q8134
Q587977,Q8134
Q601401,Q8134
Q615782,Q8134
Q621368,Q8134
Q641887,Q8134
Q648510,Q8134
Q649124,Q8134
Q783794,Q8134
Q830650,Q8134
Q835678,Q8134
Q860427,Q8134
Q948221,Q8134
Q1059151,Q8134
Q1104339,Q8134
Q1133938,Q8134
Q1156265,Q8134
Q1163938,Q8134
Q1166072,Q8134
Q1200129,Q8134
Q1200561,Q8134
Q1251431,Q8134
Q1274157,Q8134
Q1309976,Q8134
Q1313028,Q8134
Q1344781,Q8134
Q1361092,Q8134
Q1370301,Q8134
Q1377422,Q8134
Q1384234,Q8134
Q1400881,Q8134
Q1401304,Q8134
Q1425088,Q8134
Q1465684,Q8134
Q1474633,Q8134
Q1500849,Q8134
Q1511081,Q8134
Q1545824,Q8134
Q1572679,Q8134
Q1643283,Q8134
Q1643892,Q8134
Q1757797,Q8134
Q1783600,Q8134
Q1894881,Q8134
Q1951366,Q8134
Q1959446,Q8134
Q2135431,Q8134
Q2144300,Q8134
Q2334593,Q8134
Q2559581,Q8134
Q2634516,Q8134
Q2669416,Q8134
Q2897903,Q8134
Q2995714,Q8134
Q3527003,Q8134
Q3566043,Q8134
Q3710446,Q8134
Q3978816,Q8134
Q4116200,Q8134
Q4156959,Q8134
Q4167761,Q8134
Q4291379,Q8134
Q4301854,Q8134
Q11205,Q98021564
Q181508,Q411
Q98925662,Q411
Q846303,Q8008
Q11472108,Q8008
Q12136417,Q8008
Q56241591,Q8008
Q1331774,Q638
Q33847628,Q638
Q108865224,Q638
Q125171195,Q638
Q7375602,Q249
Q8767,Q466
Q8777,Q466
Q32635,Q466
Q35127,Q466
Q131164,Q466
Q186165,Q466
Q221989,Q466
Q332568,Q466
Q564329,Q466
Q1476753,Q466
Q3948731,Q466
Q20202982,Q466
Q57204236,Q466
Q59164093,Q466
Q115449506,Q466
Q116840494,Q466
Q2,Q1069
Q7950,Q1069
Q8070,Q1069
Q8072,Q1069
Q15316,Q1069
Q83296,Q1069
Q193842,Q1069
Q245441,Q1069
Q531953,Q1069
Q570309,Q1069
Q742139,Q1069
Q876798,Q1069
Q966260,Q1069
Q1092095,Q1069
Q1467769,Q1069
Q1617168,Q1069
Q1781759,Q1069
Q4364434,Q1069
Q5600103,Q1069
Q6428674,Q1069
Q6653802,Q1069
Q10286976,Q1069
Q10928429,Q1069
Q12409353,Q1069
Q101019690,Q1069
Q105385903,Q1069
Q105990729,Q1069
Q113662469,Q1069
Q131472321,Q1069
Q4828267,Q8134
Q4873816,Q8134
Q4986585,Q8134
Q5055020,Q8134
Q5069619,Q8134
Q5105004,Q8134
Q5156427,Q8134
Q5164766,Q8134
Q5174812,Q8134
Q5244913,Q8134
Q5256276,Q8134
Q5282576,Q8134
Q5333541,Q8134
Q5333593,Q8134
Q5357821,Q8134
Q5868250,Q8134
Q6413913,Q8134
Q41867,Q638
Q233861,Q638
Q460730,Q638
Q959049,Q638
Q1959825,Q638
Q2717062,Q638
Q3629387,Q638
Q5033171,Q638
Q7167190,Q638
Q11696608,Q638
Q12827546,Q638
Q28402829,Q638
Q56342472,Q638
Q28877,Q8134
Q37654,Q8134
Q41693,Q8134
Q43637,Q8134
Q44009,Q8134
Q44454,Q8134
Q117553,Q8134
Q139965,Q8134
Q159462,Q8134
Q159810,Q8134
Q161500,Q8134
Q179216,Q8134
Q42250,Q1069
Q102904,Q1069
Q205768,Q1069
Q208650,Q1069
Q213891,Q1069
Q419833,Q1069
Q473935,Q1069
Q593508,Q1069
Q853422,Q1069
Q861025,Q1069
Q973297,Q1069
Q1048416,Q1069
Q1050578,Q1069
Q1102535,Q1069
Q1327465,Q1069
Q1815472,Q1069
Q1869822,Q1069
Q1884870,Q1069
Q2138304,Q1069
Q2915366,Q1069
Q6008998,Q1069
Q6944270,Q1069
Q9182498,Q1069
Q9367033,Q1069
Q9391183,Q1069
Q10506157,Q1069
Q10531338,Q1069
Q10559552,Q1069
Q10671689,Q1069
Q11394716,Q1069
Q11819753,Q1069
Q12094801,Q1069
Q12569878,Q1069
Q12713463,Q1069
Q12715729,Q1069
Q12894977,Q1069
Q78125729,Q1069
Q87058424,Q1069
Q104909997,Q1069
Q119809469,Q1069
Q9121,Q2329
Q11173,Q2329
Q11344,Q2329
Q11369,Q2329
Q19600,Q2329
Q79529,Q2329
Q171407,Q2329
Q397226,Q2329
Q679643,Q2329
Q764285,Q2329
Q898238,Q2329
Q904041,Q2329
Q3705921,Q2329
Q4200698,Q2329
Q7915334,Q2329
Q11736886,Q2329
Q12148544,Q2329
Q17339814,Q2329
Q17540792,Q2329
Q23005640,Q2329
Q28843570,Q2329
Q57326337,Q2329
Q67613916,Q2329
Q105992270,Q2329
Q111855441,Q2329
Q111975766,Q2329
Q115693828,Q2329
Q125525896,Q2329
Q12147,Q11190
Q584562,Q11190
Q639907,Q11190
Q1774425,Q11190
Q1933270,Q11190
Q2019827,Q11190
Q2260567,Q11190
Q5500183,Q11190
Q5850078,Q11190
Q16966471,Q11190
Q25099018,Q11190
Q27347933,Q11190
Q28209496,Q11190
Q28324961,Q11190
Q60609083,Q11190
Q66057507,Q11190
Q68830290,Q11190
Q76162588,Q11190
Q79030530,Q11190
Q84161649,Q11190
Q105747009,Q11190
Q106994571,Q11190
Q111796709,Q11190
Q112158087,Q11190
Q117309724,Q11190
Q315,Q8162
Q25295,Q8162
Q33384,Q8162
Q34770,Q8162
Q82042,Q8162
Q146863,Q8162
Q191090,Q8162
Q191328,Q8162
Q196626,Q8162
Q200801,Q8162
Q204826,Q8162
Q262246,Q8162
Q327358,Q8162
Q376431,Q8162
Q446593,Q8162
Q521164,Q8162
Q690548,Q8162
Q728252,Q8162
Q833734,Q8162
Q965415,Q8162
Q1088372,Q8162
Q1193977,Q8162
Q1358208,Q8162
Q1483324,Q8162
Q2081024,Q8162
Q2545446,Q8162
Q2548924,Q8162
Q2634309,Q8162
Q3032236,Q8162
Q3337086,Q8162
Q334384,Q2539
Q620622,Q2539
Q1041418,Q2539
Q1152135,Q2539
Q3412374,Q2539
Q7268372,Q2539
Q16526073,Q2539
Q22245680,Q2539
Q25304494,Q2539
Q110688486,Q2539
Q115215420,Q2539
Q130364031,Q2539
Q131164003,Q2539
Q7094,Q2329
Q11165,Q2329
Q11351,Q2329
Q36382,Q2329
Q81915,Q2329
Q165838,Q2329
Q186011,Q2329
Q188403,Q2329
Q193870,Q2329
Q204902,Q2329
Q297672,Q2329
Q300951,Q2329
Q321150,Q2329
Q333669,Q2329
Q381009,Q2329
Q483948,Q2329
Q614304,Q2329
Q902552,Q2329
Q903758,Q2329
Q1637030,Q2329
Q1718437,Q2329
Q3097812,Q2329
Q47537,Q12271
Q29933938,Q12271
Q98178108,Q12271
Q108865224,Q12271
Q736879,Q7173
Q1230015,Q7173
Q1890320,Q7173
Q111795818,Q7173
Q112233522,Q7173
Q124143605,Q7173
Q764,Q7175
Q611804,Q7175
Q2736051,Q7175
Q60794338,Q7175
Q105104282,Q7175
Q111551093,Q7175
Q112184657,Q7175
Q310846,Q7206
Q159810,Q27841
Q12136,Q7208
Q112265192,Q7208
Q112265246,Q7208
Q948887,Q131476
Q958394,Q131476
Q959831,Q131476
Q970994,Q131476
Q977674,Q131476
Q1012802,Q131476
Q1047749,Q131476
Q1059366,Q131476
Q1065144,Q131476
Q1071058,Q131476
Q1087609,Q131476
Q1096734,Q131476
Q1117691,Q131476
Q1128435,Q131476
Q1137726,Q131476
Q1153612,Q131476
Q1156047,Q131476
Q1187620,Q131476
Q1195339,Q131476
Q1199501,Q131476
Q1205074,Q131476
Q1243386,Q131476
Q1304193,Q131476
Q1320634,Q131476
Q1322892,Q131476
Q1354987,Q131476
Q1356176,Q131476
Q1361526,Q131476
Q1374495,Q131476
Q1378376,Q131476
Q1383936,Q131476
Q1402516,Q131476
Q1412924,Q131476
Q1416406,Q131476
Q1424481,Q131476
Q1426863,Q131476
Q1443782,Q131476
Q1506875,Q131476
Q1520825,Q131476
Q1540562,Q131476
Q1666275,Q131476
Q1699014,Q131476
Q1718082,Q131476
Q1723971,Q131476
Q1723980,Q131476
Q1757700,Q131476
Q1786523,Q131476
Q1789512,Q131476
Q1884152,Q131476
Q1953457,Q131476
Q2003238,Q131476
Q2061755,Q131476
Q2072112,Q131476
Q2136464,Q131476
Q2263094,Q131476
Q2270666,Q131476
Q2271162,Q131476
Q2294516,Q131476
Q2300244,Q131476
Q2313592,Q131476
Q2338993,Q131476
Q2376018,Q131476
Q2405573,Q131476
Q2416308,Q131476
Q2492680,Q131476
Q2493581,Q131476
Q2527813,Q131476
Q2532492,Q131476
Q2562299,Q131476
Q2589168,Q131476
Q2594143,Q131476
Q2622036,Q131476
Q2642629,Q131476
Q2742711,Q131476
Q2800071,Q131476
Q2806753,Q131476
Q2806923,Q131476
Q2806925,Q131476
Q2813835,Q131476
Q2816161,Q131476
Q2816238,Q131476
Q2816329,Q131476
Q2816743,Q131476
Q2816778,Q131476
Q2816779,Q131476
Q2816826,Q131476
Q2816827,Q131476
Q2816873,Q131476
Q2816902,Q131476
Q2817463,Q131476
Q2817910,Q131476
Q2818267,Q131476
Q2818300,Q131476
Q2818688,Q131476
Q2818709,Q131476
Q2855103,Q131476
Q2897180,Q131476
Q2913731,Q131476
Q2933043,Q131476
Q2,Q8008
Q26841,Q8008
Q205895,Q8008
Q16346,Q30642
Q48522,Q30642
Q63087,Q30642
Q79798,Q30642
Q167555,Q30642
Q194152,Q30642
Q324254,Q30642
Q403574,Q30642
Q1074173,Q30642
Q1129466,Q30642
Q1271424,Q30642
Q1394144,Q30642
Q1416732,Q30642
Q1759657,Q30642
Q1948408,Q30642
Q2266173,Q30642
Q2271421,Q30642
Q2554325,Q30642
Q2748079,Q30642
Q6588467,Q30642
Q7047777,Q30642
Q7451191,Q30642
Q25394236,Q30642
Q107819359,Q30642
Q107829364,Q30642
Q107829622,Q30642
Q116680847,Q30642
Q121409954,Q30642
Q124149721,Q30642
Q720362,Q38112
Q978061,Q38112
Q1944497,Q38112
Q2138208,Q38112
Q3043226,Q38112
Q3954966,Q38112
Q9188333,Q38112
Q9325903,Q38112
Q10657315,Q38112
Q11788645,Q38112
Q25416645,Q38112
Q190,Q34178
Q9174,Q34178
Q49447,Q34178
Q450246,Q34178
Q1233889,Q34178
Q2803762,Q34178
Q5158426,Q34178
Q5399472,Q34178
Q5410500,Q34178
Q17051602,Q34178
Q124834755,Q39825
Q124842935,Q39825
Q29728284,Q189553
Q29728287,Q189553
Q29729440,Q189553
Q29729444,Q189553
Q29730614,Q189553
Q29730618,Q189553
Q29783703,Q189553
Q29783705,Q189553
Q29783706,Q189553
Q29783803,Q189553
Q60596754,Q189553
Q64821719,Q189553
Q66542951,Q189553
Q66542952,Q189553
Q66542953,Q189553
Q66542954,Q189553
Q66542955,Q189553
Q66542956,Q189553
Q66542957,Q189553
Q66542958,Q189553
Q66542959,Q189553
Q66542960,Q189553
Q66542961,Q189553
Q66542962,Q189553
Q66542966,Q189553
Q66543464,Q189553
Q66543482,Q189553
Q66557462,Q189553
Q66557479,Q189553
Q66557588,Q189553
Q66563602,Q189553
Q66572180,Q189553
Q104549358,Q189553
Q106689705,Q189553
Q119399115,Q189553
Q124134874,Q189553
Q124214163,Q189553
Q129956982,Q189553
Q130540843,Q189553
Q131291106,Q189553
Q131378262,Q189553
Q1134763,Q43015
Q3502605,Q43015
Q4116214,Q43015
Q10423578,Q43015
Q19778940,Q43015
Q21402342,Q43015
Q104093595,Q43015
Q113861741,Q43015
Q8502,Q52109
Q42523,Q52109
Q54050,Q52109
Q186131,Q52109
Q271669,Q52109
Q332784,Q52109
Q944588,Q52109
Q1349417,Q52109
Q2537553,Q52109
Q4400371,Q52109
Q11827380,Q52109
Q18600084,Q52109
Q112622562,Q52109
Q124634658,Q52109
Q124634670,Q52109
Q830431,Q43455
Q841408,Q43455
Q861716,Q43455
Q1129049,Q43455
Q1601482,Q43455
Q3117863,Q43455
Q23583280,Q43455
Q26237583,Q43455
Q55208590,Q43455
Q456443,Q43504
Q1048366,Q43504
Q6908791,Q43504
Q11926279,Q43504
Q11954149,Q43504
Q80071,Q60195
Q196626,Q60195
Q681696,Q60195
Q1483324,Q60195
Q3695082,Q60195
Q9356399,Q60195
Q2252195,Q21201
Q2305441,Q21201
Q2518716,Q21201
Q2672648,Q21201
Q2855754,Q21201
Q3149923,Q21201
Q3497299,Q21201
Q3533467,Q21201
Q4430243,Q21201
Q4781738,Q21201
Q5576738,Q21201
Q5853064,Q21201
Q7315830,Q21201
Q7808337,Q21201
Q11383691,Q21201
Q17003551,Q21201
Q17092645,Q21201
Q20820180,Q21201
Q22337586,Q21201
Q25006042,Q21201
Q25112248,Q21201
Q25451035,Q21201
Q28600291,Q21201
Q28778432,Q21201
Q30066819,Q21201
Q48815419,Q21201
Q65089846,Q21201
Q85850970,Q21201
Q92296591,Q21201
Q97830117,Q21201
Q104787685,Q21201
Q104856747,Q21201
Q112493533,Q21201
Q113435339,Q21201
Q116975391,Q21201
Q118396467,Q21201
Q119166547,Q21201
Q123477586,Q21201
Q124694117,Q21201
Q129342331,Q21201
Q130333052,Q21201
Q130348200,Q21201
Q131308721,Q21201
Q12147,Q189603
Q7632064,Q189603
Q9353606,Q189603
Q11498932,Q189603
Q88835036,Q189603
Q93598033,Q189603
Q124744933,Q189603
Q1201861,Q43518
Q2839806,Q43518
Q7076139,Q43518
Q104909997,Q43518
Q108696372,Q43518
Q132736380,Q43518
Q309,Q80083
Q315,Q80083
Q735,Q80083
Q8242,Q80083
Q9174,Q80083
Q27654,Q80083
Q123039470,Q80083
Q206577,Q190375
Q501032,Q190375
Q524648,Q190375
Q754984,Q190375
Q870433,Q190375
Q1208048,Q190375
Q2315359,Q190375
Q5270227,Q190375
Q465,Q54837
Q2013,Q54837
Q9684,Q54837
Q14005,Q54837
Q22673,Q54837
Q54919,Q54837
Q136736,Q54837
Q564329,Q54837
Q620946,Q54837
Q905695,Q54837
Q1324400,Q54837
Q1370467,Q54837
Q2134522,Q54837
Q55191859,Q118301
Q4342540,Q52120
Q11754701,Q52120
Q3071369,Q54837
Q3618153,Q54837
Q4914599,Q54837
Q5114080,Q54837
Q5188229,Q54837
Q5206196,Q54837
Q5369234,Q54837
Q5915760,Q54837
Q7388486,Q54837
Q7449080,Q54837
Q7654799,Q54837
Q17298559,Q54837
Q17521121,Q54837
Q18336371,Q54837
Q18635431,Q54837
Q19938912,Q54837
Q21159923,Q54837
Q27303896,Q54837
Q31044671,Q54837
Q39530266,Q54837
Q41807229,Q54837
Q55118540,Q54837
Q56292285,Q54837
Q58845575,Q54837
Q64139102,Q54837
Q65509402,Q54837
Q96585608,Q54837
Q99527011,Q54837
Q99527617,Q54837
Q99529112,Q54837
Q388738,Q192386
Q1413045,Q192386
Q1791716,Q192386
Q112158036,Q192386
Q119431609,Q192386
Q2940397,Q131476
Q2997928,Q131476
Q3026495,Q131476
Q3029658,Q131476
Q3033506,Q131476
Q3034655,Q131476
Q3034779,Q131476
Q3034788,Q131476
Q3034855,Q131476
Q3035340,Q131476
Q3036983,Q131476
Q3046737,Q131476
Q3066095,Q131476
Q3085841,Q131476
Q3090387,Q131476
Q3113838,Q131476
Q3115450,Q131476
Q3115451,Q131476
Q3115453,Q131476
Q3115454,Q131476
Q3115456,Q131476
Q3115457,Q131476
Q3115458,Q131476
Q3115459,Q131476
Q3115460,Q131476
Q3115462,Q131476
Q3115464,Q131476
Q3115466,Q131476
Q3115467,Q131476
Q3115469,Q131476
Q3115470,Q131476
Q3115474,Q131476
Q3115475,Q131476
Q3115477,Q131476
Q3115478,Q131476
Q3115479,Q131476
Q3115480,Q131476
Q3115483,Q131476
Q3115484,Q131476
Q3115485,Q131476
Q3115486,Q131476
Q3115488,Q131476
Q3115489,Q131476
Q3115490,Q131476
Q3115492,Q131476
Q3115494,Q131476
Q3115497,Q131476
Q3115500,Q131476
Q3115502,Q131476
Q3115503,Q131476
Q3115504,Q131476
Q3115505,Q131476
Q3115507,Q131476
Q3115511,Q131476
Q3115512,Q131476
Q3115513,Q131476
Q3115514,Q131476
Q3115517,Q131476
Q3115519,Q131476
Q3115520,Q131476
Q3115522,Q131476
Q3115524,Q131476
Q3115525,Q131476
Q3115526,Q131476
Q3115528,Q131476
Q3115531,Q131476
Q3115532,Q131476
Q3115533,Q131476
Q3115535,Q131476
Q3115536,Q131476
Q3115537,Q131476
Q3115539,Q131476
Q3115540,Q131476
Q3115541,Q131476
Q3115542,Q131476
Q3115543,Q131476
Q3115544,Q131476
Q3115546,Q131476
Q3115549,Q131476
Q3115552,Q131476
Q3115553,Q131476
Q3115555,Q131476
Q3115556,Q131476
Q3115557,Q131476
Q3115558,Q131476
Q3115561,Q131476
Q3115563,Q131476
Q3115564,Q131476
Q3115565,Q131476
Q3115566,Q131476
Q3115567,Q131476
Q3115568,Q131476
Q3115569,Q131476
Q3115571,Q131476
Q3115573,Q131476
Q3115575,Q131476
Q3115576,Q131476
Q3115577,Q131476
Q3115578,Q131476
Q3115579,Q131476
Q41247,Q205398
Q2142602,Q205398
Q2310289,Q205398
Q2334593,Q205398
Q3149923,Q205398
Q3357620,Q205398
Q5853064,Q205398
Q16997502,Q205398
Q17008491,Q205398
Q25006042,Q205398
Q59284866,Q205398
Q858810,Q180634
Q179289,Q156318
Q5850078,Q156318
Q2264046,Q192694
Q60792158,Q192694
Q121742290,Q190553
Q661936,Q192625
Q1982067,Q192625
Q18355341,Q192625
Q72775801,Q192625
Q107102677,Q192625
Q630531,Q253140
Q2467478,Q860374
Q4116214,Q860374
Q82580,Q193870
Q617224,Q193870
Q1455803,Q193870
Q3819233,Q193870
Q4419098,Q193870
Q638,Q193544
Q568678,Q193544
Q617028,Q193544
Q1148098,Q193544
Q9357442,Q193544
Q104829724,Q193544
Q3354462,Q194292
Q5164372,Q194292
Q39950,Q917680
Q143,Q1368144
Q979529,Q1368144
Q287,Q3201372
Q130394034,Q3201372
Q273005,Q3543374
Q7200,Q4384741
Q133772,Q5749238
Q18395344,Q30642
Q9072,Q1370331
Q1334834,Q1370331
Q5401662,Q1370331
Q45701,Q1493973
Q188055,Q1682379
Q853800,Q2315537
Q112622562,Q2348608
Q192617,Q34178
Q276183,Q34178
Q323996,Q34178
Q875490,Q34178
Q2056335,Q34178
Q2919366,Q34178
Q3549127,Q34178
Q4178700,Q34178
Q4208496,Q34178
Q4356367,Q34178
Q6949162,Q34178
Q7782227,Q34178
Q7782252,Q34178
Q10687533,Q34178
Q12766299,Q34178
Q13176239,Q34178
Q15627792,Q34178
Q60310061,Q34178
Q85329238,Q34178
Q104705174,Q34178
Q17149401,Q194294
Q198,Q192781
Q8473,Q192781
Q7075,Q199655
Q33057,Q199655
Q48460,Q199655
Q48473,Q199655
Q49848,Q199655
Q93661,Q199655
Q131276,Q199655
Q630961,Q199655
Q774896,Q199655
Q779429,Q199655
Q83296,Q52109
Q307544,Q52109
Q322414,Q52109
Q613963,Q52109
Q873398,Q52109
Q1435994,Q52109
Q1490924,Q52109
Q3150308,Q52109
Q12029384,Q52109
Q12781078,Q52109
Q12859380,Q52109
Q18411413,Q52109
Q47784598,Q52109
Q318,Q333
Q523,Q333
Q634,Q333
Q3535,Q333
Q4169,Q333
Q6999,Q333
Q18343,Q333
Q27521,Q333
Q61931,Q333
Q79925,Q333
Q103983,Q333
Q131468,Q333
Q142353,Q333
Q189622,Q333
Q312021,Q333
Q596993,Q333
Q809690,Q333
Q1092095,Q333
Q1519541,Q333
Q1774410,Q333
Q3424023,Q333
Q4492211,Q333
Q5223514,Q333
Q14515149,Q333
Q21970361,Q333
Q47495022,Q333
Q57786169,Q333
Q61808792,Q333
Q78801380,Q333
Q94944534,Q333
Q97131102,Q333
Q98273894,Q333
Q123184528,Q333
Q123530727,Q333
Q1454200,Q11473
Q1492101,Q11473
Q1530267,Q11473
Q1568269,Q11473
Q1699956,Q11473
Q1878074,Q11473
Q1949855,Q11473
Q1960173,Q11473
Q1965381,Q11473
Q1977001,Q11473
Q1982410,Q11473
Q2004444,Q11473
Q2044954,Q11473
Q2118253,Q11473
Q2141256,Q11473
Q2142270,Q11473
Q2295066,Q11473
Q2328104,Q11473
Q2329753,Q11473
Q2347139,Q11473
Q2375077,Q11473
Q2378317,Q11473
Q2381834,Q11473
Q2420179,Q11473
Q2428364,Q11473
Q2466686,Q11473
Q2568890,Q11473
Q2596534,Q11473
Q2627460,Q11473
Q2656117,Q11473
Q2661322,Q11473
Q2666979,Q11473
Q2902868,Q11473
Q2937190,Q11473
Q3055345,Q11473
Q3055355,Q11473
Q3343014,Q11473
Q3343034,Q11473
Q3448624,Q11473
Q3449453,Q11473
Q3487415,Q11473
Q3493653,Q11473
Q3634398,Q11473
Q4027471,Q11473
Q4027492,Q11473
Q4086827,Q11473
Q4127028,Q11473
Q4162366,Q11473
Q900661,Q11473
Q900729,Q11473
Q900833,Q11473
Q901793,Q11473
Q901795,Q11473
Q901815,Q11473
Q901840,Q11473
Q901845,Q11473
Q901927,Q11473
Q902126,Q11473
Q902476,Q11473
Q902606,Q11473
Q902635,Q11473
Q903886,Q11473
Q904618,Q11473
Q905744,Q11473
Q907271,Q11473
Q907297,Q11473
Q908691,Q11473
Q908724,Q11473
Q908744,Q11473
Q909022,Q11473
Q909060,Q11473
Q909482,Q11473
Q909534,Q11473
Q909596,Q11473
Q910550,Q11473
Q910612,Q11473
Q911284,Q11473
Q918306,Q11473
Q961847,Q11473
Q1059714,Q11473
Q1062955,Q11473
Q1084485,Q11473
Q1146448,Q11473
Q1151031,Q11473
Q1192131,Q11473
Q1311201,Q11473
Q1324943,Q11473
Q1334560,Q11473
Q1345213,Q11473
Q1345239,Q11473
Q1399710,Q11473
Q1415926,Q11473
Q1424492,Q11473
Q1454008,Q11473
Q39645,Q60195
Q957366,Q60195
Q2572474,Q60195
Q6803697,Q60195
Q11258845,Q60195
Q13381886,Q60195
Q978,Q23399
Q5891,Q80083
Q25303618,Q80083
Q118541692,Q80083
Q230056,Q200253
Q1399328,Q200253
Q1413962,Q200253
Q1552556,Q200253
Q6860371,Q200253
Q7213267,Q200253
Q7797875,Q200253
Q7900615,Q200253
Q9505004,Q200253
Q10427932,Q200253
Q10796474,Q200253
Q11084655,Q200253
Q11650808,Q200253
Q5,Q23404
Q8425,Q23404
Q11042,Q23404
Q26841,Q23404
Q131288,Q23404
Q196626,Q23404
Q501032,Q23404
Q609298,Q23404
Q621368,Q23404
Q832237,Q23404
Q1137451,Q23404
Q1400881,Q23404
Q2090195,Q23404
Q2143054,Q23404
Q2518716,Q23404
Q5196488,Q23404
Q5985066,Q23404
Q6486741,Q23404
Q7102480,Q23404
Q7553219,Q23404
Q18353051,Q23404
Q29167440,Q23404
Q32860608,Q23404
Q39047923,Q23404
Q72862526,Q23404
Q83059234,Q23404
Q84161649,Q23404
Q94949694,Q23404
Q97488323,Q23404
Q98592945,Q23404
Q106139101,Q23404
Q113435339,Q23404
Q117078933,Q23404
Q117156772,Q23404
Q118396467,Q23404
Q131308721,Q23404
Q205982,Q205398
Q1572493,Q205398
Q1711323,Q205398
Q10871621,Q205398
Q15823512,Q205398
Q62075416,Q205398
Q667832,Q253140
Q1616675,Q253140
Q3128494,Q253140
Q3564220,Q253140
Q12831959,Q253140
Q175096,Q376657
Q568174,Q376657
Q10812138,Q376657
Q4456813,Q2329
Q4530275,Q2329
Q5158735,Q2329
Q6710262,Q2329
Q9274622,Q2329
Q11229387,Q2329
Q11790203,Q2329
Q11932225,Q2329
Q12385831,Q2329
Q16528404,Q2329
Q20097254,Q2329
Q104907037,Q2329
Q7860,Q336
Q3239681,Q336
Q30060700,Q336
Q111972243,Q336
Q115949945,Q336
Q451967,Q7748
Q1400881,Q7748
Q7379041,Q7748
Q61045554,Q7748
Q116167130,Q7748
Q332028,Q23498
Q839954,Q23498
Q1092095,Q23498
Q1149405,Q23498
Q2143054,Q23498
Q2686349,Q23498
Q5380517,Q23498
Q15401633,Q23498
Q17650128,Q23498
Q19702902,Q23498
Q60744583,Q23498
Q112259834,Q23498
Q114853547,Q23498
Q115218237,Q23498
Q1,Q338
Q323,Q338
Q3535,Q338
Q18343,Q338
Q79925,Q338
Q221392,Q338
Q1049613,Q338
Q1344778,Q338
Q1401749,Q338
Q1647152,Q338
Q2502269,Q338
Q3318059,Q338
Q3373825,Q338
Q4379531,Q338
Q4920115,Q338
Q5223514,Q338
Q15241043,Q338
Q28530079,Q338
Q64831112,Q338
Q94944534,Q338
Q104878256,Q338
Q122981581,Q338
Q41237,Q7754
Q134237,Q7754
Q176674,Q7754
Q207455,Q7754
Q211981,Q7754
Q318714,Q7754
Q318754,Q7754
Q378741,Q7754
Q420714,Q7754
Q466720,Q7754
Q2687556,Q7754
Q4692965,Q7754
Q5147873,Q7754
Q5222243,Q7754
Q819095,Q2539
Q830687,Q2539
Q980509,Q2539
Q1053367,Q2539
Q1744628,Q2539
Q6027324,Q2539
Q7094097,Q2539
Q7795822,Q2539
Q20789991,Q2539
Q77562367,Q2539
Q8388,Q7867
Q161790,Q7867
Q170082,Q7867
Q181923,Q7867
Q208166,Q7867
Q47574,Q394
Q1924249,Q394
Q6522493,Q394
Q110762908,Q394
Q110763043,Q394
Q477502,Q7867
Q498237,Q7867
Q544006,Q7867
Q635195,Q7867
Q747735,Q7867
Q783092,Q7867
Q845787,Q7867
Q929963,Q7867
Q1129046,Q7867
Q1436063,Q7867
Q2540067,Q7867
